,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat
0,32.223799999999997,104.851,1.8794,2.0,2.0,485960.43945785862,3565252.4074896094
1,32.232100000000003,104.8402,5.6382000000000003,2.0,6.0,484944.17419037136,3566173.89685805
2,32.240299999999998,104.8293,9.3969000000000005,2.0,10.0,483918.65555502003,3567084.4204352088
3,32.2485,104.8185,13.1557,2.0,14.0,482902.74148381286,3567995.0339292684
4,32.256799999999998,104.8077,16.9145,2.0,18.0,481887.03020129283,3568916.8361243913
5,32.265000000000001,104.79689999999999,20.673200000000001,2.0,22.0,480871.48316282342,3569827.6576347337
6,32.273200000000003,104.7861,24.431999999999999,2.0,26.0,479856.11915241275,3570738.5832075486
7,32.281399999999998,104.7753,28.190799999999999,2.0,30.0,478840.93821754586,3571649.6128847324
8,32.197099999999999,104.82250000000001,1.8794,6.0,2.0,483270.12950267317,3562296.8892688998
9,32.205300000000001,104.8117,5.6382000000000003,6.0,6.0,482253.78966355714,3563207.5598665848
10,32.2136,104.8009,9.3969000000000005,6.0,10.0,481237.65307342011,3564129.4190359055
11,32.221800000000002,104.7901,13.1557,6.0,14.0,480221.67983155849,3565040.2975389129
12,32.229999999999997,104.77930000000001,16.9145,6.0,18.0,479205.88940059062,3565951.2800490474
13,32.238199999999999,104.7685,20.673200000000001,6.0,22.0,478190.28182799253,3566862.3666083352
14,32.246499999999997,104.7576,24.431999999999999,6.0,26.0,477165.46195963025,3567784.6632395764
15,32.2547,104.74679999999999,28.190799999999999,6.0,30.0,476150.22221041139,3568695.9589918773
16,32.170400000000001,104.7941,1.8794,10.0,2.0,480587.68058027484,3559342.0734974225
17,32.178600000000003,104.7833,5.6382000000000003,10.0,6.0,479571.28156722162,3560253.0089067705
18,32.186799999999998,104.77249999999999,9.3969000000000005,10.0,10.0,478555.06514774211,3561164.0482677794
19,32.195,104.7617,13.1557,10.0,14.0,477539.03136930702,3562075.1916225976
20,32.203299999999999,104.7509,16.9145,10.0,18.0,476523.20596215239,3562997.5236605825
21,32.211500000000001,104.73999999999999,20.673200000000001,10.0,22.0,475498.11489790661,3563908.8979386631
22,32.219700000000003,104.72920000000001,24.431999999999999,10.0,26.0,474482.63129010366,3564820.3544961475
23,32.227899999999998,104.7184,28.190799999999999,10.0,30.0,473467.33051414089,3565731.9152160767
24,32.143599999999999,104.7657,1.8794,14.0,2.0,477903.64748789597,3556376.8877426442
25,32.151800000000001,104.75490000000001,5.6382000000000003,14.0,6.0,476887.18793562567,3557288.0878060535
26,32.1601,104.7441,9.3969000000000005,14.0,10.0,475870.93720648327,3558210.4764241576
27,32.168300000000002,104.7333,13.1557,14.0,14.0,474854.84376233903,3559121.8845094303
28,32.176499999999997,104.7225,16.9145,14.0,18.0,473838.9328848641,3560033.3966597989
29,32.184699999999999,104.7116,20.673200000000001,14.0,22.0,472813.77801901498,3560945.0381869841
30,32.192900000000002,104.7008,24.431999999999999,14.0,26.0,471798.23325888067,3561856.7595439632
31,32.2012,104.69,28.190799999999999,14.0,30.0,470782.90316835273,3562779.6697611464
32,32.116799999999998,104.7373,1.8794,18.0,2.0,475218.0499810988,3553412.415646431
33,32.125100000000003,104.7265,5.6382000000000003,18.0,6.0,474201.55777846533,3554334.9647434251
34,32.133299999999998,104.7157,9.3969000000000005,18.0,10.0,473185.2209051419,3555246.5333491694
35,32.141500000000001,104.70489999999999,13.1557,18.0,14.0,472169.06642842817,3556158.2060070406
36,32.149700000000003,104.69410000000001,16.9145,18.0,18.0,471153.094395953,3557069.982759241
37,32.157899999999998,104.6833,20.673200000000001,18.0,22.0,470137.30485538254,3557981.8636479396
38,32.166200000000003,104.6724,24.431999999999999,18.0,26.0,469112.3030619357,3558904.9620269439
39,32.174399999999999,104.66160000000001,28.190799999999999,18.0,30.0,468096.88060888462,3559817.0522849141
40,32.0901,104.7089,1.8794,22.0,2.0,472530.91943450755,3550459.7406993555
41,32.098300000000002,104.6981,5.6382000000000003,22.0,6.0,471514.33917588444,3551371.469669349
42,32.106499999999997,104.68729999999999,9.3969000000000005,22.0,10.0,470497.94114367571,3552283.3026785846
43,32.114699999999999,104.6765,13.1557,22.0,14.0,469481.72538553702,3553195.2397693545
44,32.122900000000001,104.6657,16.9145,22.0,18.0,468465.69194916019,3554107.2809839109
45,32.1312,104.6549,20.673200000000001,22.0,22.0,467449.87639163079,3555030.5109276245
46,32.139400000000002,104.64409999999999,24.431999999999999,22.0,26.0,466434.20886171696,3555942.7605362777
47,32.147599999999997,104.6332,28.190799999999999,22.0,30.0,465409.29334122164,3556855.1465158323
48,32.063299999999998,104.6806,1.8794,26.0,2.0,469851.63946392998,3547496.665019365
49,32.0715,104.6698,5.6382000000000003,26.0,6.0,468834.99708179664,3548408.6572748516
50,32.079700000000003,104.65900000000001,9.3969000000000005,26.0,10.0,467818.53680337931,3549320.7535989
51,32.088000000000001,104.6482,13.1557,26.0,14.0,466802.29483146832,3550244.0385250249
52,32.096200000000003,104.6373,16.9145,26.0,18.0,465776.76428021304,3551156.3748669573
53,32.104399999999998,104.62649999999999,20.673200000000001,26.0,22.0,464760.85255650134,3552068.7846204033
54,32.1126,104.6157,24.431999999999999,26.0,26.0,463745.12312816794,3552981.2986119706
55,32.120800000000003,104.6049,28.190799999999999,26.0,30.0,462729.57604307565,3553893.9168838449
56,32.036499999999997,104.65219999999999,1.8794,30.0,2.0,467161.36309706699,3544534.3255316368
57,32.044699999999999,104.6414,5.6382000000000003,30.0,6.0,466144.65918026504,3545446.581881287
