,east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip
0,556466,3617519,22.27975224346148,5.1819661999999996e-21,0.8576003,0.8576003,-128,70
1,538795,3610145,22.27975224346148,-1.9846635e-20,2.2708763,2.2708763,-128,70
2,521124,3602772,22.27975224346148,-1.7717554,6.622271899999999,6.8551879853844095,-128,70
3,503453,3595398,22.27975224346148,-5.3655382000000005,4.8240935,7.215322464893824,-128,70
4,485782,3588025,22.27975224346148,-5.9778395,1.8531800999999999,6.258501543564263,-128,70
5,560255,3615543,13.261375099883963,-28.174771000000003,39.602446,48.60217536371553,-128,70
6,547632,3610276,13.261375099883963,-0.61047471,49.966013000000004,49.969742189526244,-128,70
7,535010,3605009,13.261375099883963,-41.1269,58.801173999999996,71.75653257640224,-128,70
8,522388,3599742,13.261375099883963,-73.338859,173.13509,188.02751827519816,-128,70
9,509766,3594476,13.261375099883963,-157.42837,215.06041000000002,266.5233041034592,-128,70
10,497143,3589209,13.261375099883963,-260.21369,141.47965,296.1885477656734,-128,70
11,484521,3583942,13.261375099883963,-297.29256000000004,143.68788999999998,330.1955117260162,-128,70
12,563392,3614481,7.249123890093897,-48.933440999999995,84.669754,97.79288772973726,-128,70
13,555360,3611129,7.249123890093897,-19.208087,45.747211,49.61610545456072,-128,70
14,547328,3607778,7.249123890093897,-6.8075054,85.042608,85.31463711000998,-128,70
15,539295,3604426,7.249123890093897,-59.69002,102.58373,118.6858043251732,-128,70
16,531263,3601075,7.249123890093897,-112.68311000000001,110.41955,157.76552317117515,-128,70
17,523231,3597723,7.249123890093897,-113.45346,216.48187000000001,244.40967170852406,-128,70
18,515198,3594371,7.249123890093897,-200.97576999999998,281.46932999999996,345.8558136821496,-128,70
19,507166,3591020,7.249123890093897,-305.28222999999997,278.43442000000005,413.18635770619204,-128,70
20,499134,3587668,7.249123890093897,-464.88284000000004,199.54583,505.8997857252507,-128,70
21,491101,3584317,7.249123890093897,-464.05069000000003,155.51363999999998,489.4155035504349,-128,70
22,483069,3580965,7.249123890093897,-489.64450999999997,212.64946,533.8272557779638,-128,70
23,565209,3613658,3.2409564012389773,-59.893716000000005,69.324259,91.61391871428565,-128,70
24,559687,3611354,3.2409564012389773,-47.87184,41.210133,63.16635280640548,-128,70
25,554165,3609050,3.2409564012389773,-31.763332000000002,43.602183000000004,53.9449684596044,-128,70
26,548642,3606746,3.2409564012389773,-11.179858,81.011199,81.77899234105153,-128,70
27,543120,3604441,3.2409564012389773,-42.213539000000004,132.59559,139.15305732305208,-128,70
28,537598,3602137,3.2409564012389773,-114.86478000000001,114.48481000000001,162.17487291557995,-128,70
29,532076,3599833,3.2409564012389773,-146.41092,114.65431000000001,185.96173879812616,-128,70
30,526553,3597529,3.2409564012389773,-160.41471,161.83531000000002,227.8673885117838,-128,70
31,521031,3595224,3.2409564012389773,-208.70103999999998,223.02547,305.44473209699083,-128,70
32,515509,3592920,3.2409564012389773,-261.02198,238.88083999999998,353.83121648919837,-128,70
33,509987,3590616,3.2409564012389773,-290.60211,265.67222000000004,393.7401615484259,-128,70
34,504465,3588312,3.2409564012389773,-431.54823,264.63038,506.22437005252647,-128,70
