,east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
0,424079,3474353,22.279752243461534,-5.1819661999999996e-21,0.8576003000000001,0.8576003000000001,-128.0,70.0,27.99333414803592,30.78428881191235,26.365616374767708,-0.8981181612410788,11.157469062404383,-7.705105009586266,1262.244858898945,538.0004994224066,21.42875224346153,38.42104025697328,-8.553114014498536,0.31646129065164463,-14.493657680742668
1,424062,3474346,22.279752243461534,1.9846635e-20,2.2708763,2.2708763,-128.0,70.0,27.996514244167304,30.786851755913997,26.373475890544306,-0.8985656340240717,11.160957133416863,-7.707904767442128,1262.2248181265832,537.9922473396693,21.42875224346153,38.42761124534341,-8.557936710364018,0.31719491725071625,-14.492753732308664
2,424044,3474339,22.279752243461534,1.7717554,6.6222718999999985,6.8551879853844095,-128.0,70.0,27.99995214893828,30.7896181742047,26.38198847587251,-0.899026635368118,11.164726866885104,-7.710895342478647,1262.2035984852587,537.9839952569322,21.42875224346153,38.43467619590592,-8.56314109128571,0.3179921221078175,-14.491762343923108
3,424026,3474331,22.279752243461534,5.3655382000000005,4.8240935,7.215322464893823,-128.0,70.0,28.00321677670782,30.792257140253852,26.39002802676664,-0.8995175397432112,11.168306263114664,-7.713820337767547,1262.1823788439344,537.9745643052324,21.42875224346153,38.44147501028213,-8.568101306552173,0.31873774403528304,-14.49085714589183
4,424008,3474324,22.279752243461534,5.9778395,1.8531801,6.258501543564263,-128.0,70.0,28.00665507397409,30.795024478368358,26.39852994927097,-0.8999806107556381,11.17207558589302,-7.716812933395912,1262.1611592026095,537.9663122224952,21.42875224346153,38.448541983487075,-8.57330240974387,0.31953464283042043,-14.489870175996387
5,424083,3474351,13.261375099883935,28.174771000000003,39.602446,48.60217536371553,-128.0,70.0,24.73205019235259,29.654803741570817,22.692182361932545,-0.0768041033876406,8.355079325466312,-5.9609697438258795,1262.249574374795,537.9981416844817,12.410375099883936,33.58429883693613,-5.876802538976772,-1.2301428150272231,-14.146409132397428
6,424070,3474346,13.261375099883935,0.61047471,49.966013,49.969742189526244,-128.0,70.0,24.73577727444756,29.65755438052997,22.698442099006858,-0.07744108022119846,8.358467189800702,-5.963625888182548,1262.234249078283,537.9922473396693,12.410375099883936,33.59101864655003,-5.880813934137257,-1.2291990776834925,-14.14670781815776
7,424058,3474341,13.261375099883935,41.1269,58.801174,71.75653257640224,-128.0,70.0,24.73912217249857,29.660016321696247,22.704025419411483,-0.0780252944446328,8.361499758832123,-5.966031787518633,1262.2201026507332,537.986352994857,12.410375099883936,33.59706054801459,-5.884409934754284,-1.228353018274782,-14.146985924962669
8,424045,3474336,13.261375099883935,73.338859,173.13509,188.02751827519816,-128.0,70.0,24.74284882391475,29.662767215762173,22.7102758088542,-0.07866396193386377,8.364886323448776,-5.968688187423103,1262.2047773542213,537.9804586500447,12.410375099883936,33.60378032352857,-5.888417341254747,-1.22740961333773,-14.14728746732312
9,424032,3474330,13.261375099883935,157.42837,215.06041,266.5233041034592,-128.0,70.0,24.74632745644235,29.665317479298047,22.716024741032864,-0.07929188728026372,8.368027427102701,-5.97122503483596,1262.1894520577086,537.9733854362698,12.410375099883936,33.610081519033194,-5.892149253393938,-1.2265312358510077,-14.147593819223163
10,424020,3474325,13.261375099883935,260.21369,141.47965,296.1885477656734,-128.0,70.0,24.749671709319486,29.667779802624175,22.72159405831853,-0.07987863417217599,8.371058049105843,-5.97363131699258,1262.1753056301595,537.9674910914575,12.410375099883936,33.61612336941446,-5.895739278841674,-1.2256856744005715,-14.147876365092346
11,424007,3474320,13.261375099883935,297.2925600000001,143.68788999999995,330.1955117260162,-128.0,70.0,24.75339768853896,29.670531094856766,22.7278298581245,-0.08051994041026153,8.374442585143438,-5.9762881157520535,1262.1599803336474,537.9615967466452,12.410375099883936,33.622843091705796,-5.899740459904134,-1.2247427882786566,-14.148182442765386
12,424086,3474350,7.2491238900939265,48.933441,84.669754,97.79288772973726,-128.0,70.0,20.81707771610173,28.136064100313487,19.58487050335236,1.1730606457898043,5.3755912194792534,-3.996815889497592,1262.2531109816825,537.9969628155193,6.3981238900939275,27.83284614777772,-3.4570606945191336,-2.9961248115228507,-12.124991027297106
13,424078,3474347,7.2491238900939265,19.208087,45.747211,49.61610545456072,-128.0,70.0,20.820269492677745,28.138229659796338,19.588158449937307,1.1724126380812976,5.37786947471139,-3.998595761855072,1262.2436800299824,537.9934262086317,6.3981238900939275,27.837844827645522,-3.459243231060536,-2.9952704165806026,-12.12690001691231
14,424070,3474344,7.2491238900939265,6.8075054,85.042608,85.31463711000998,-128.0,70.0,20.823460770024113,28.140395052159032,19.59144370299423,1.1717641726589392,5.380146857317832,-4.0003752522527245,1262.234249078283,537.9898896017444,6.3981238900939275,27.84284278706428,-3.461424211229441,-2.9944162237480363,-12.128808678517732
15,424062,3474340,7.2491238900939265,59.69002,102.58373,118.68580432517321,-128.0,70.0,20.82632552306765,28.14226024342124,19.59428992950305,1.1711924182972242,5.382153031431471,-4.001995013004889,1262.2248181265832,537.9851741258944,6.3981238900939275,27.84726153528225,-3.4633633731401114,-2.9936309311467664,-12.130506770025567
