,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat,x_pixel,y_pixel,z_pixel,zz_stress,xx_stress,yy_stress,xz_stress,xy_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs
0,31.6975,104.2813,1.6839,2.0,1.9444,431892.2080844385,3507131.102222435,1271.4556074069842,576.6415867810001,0.18389999999999995,34.74367135644352,29.638173279055078,41.05689399351132,-1.8858115824492512,-0.4484064640595411,-2.857102868635904,39.75891735278901,1.1031174607779732,-4.996349475751661,-18.738674125634084
1,31.7134,104.2726,5.0518,2.0,5.8333,431079.4899678919,3508898.9468228174,1270.4975192441525,578.7256439108551,3.5518,39.90418724684373,28.551197049659795,34.95863403342682,4.285203605489709,1.188976673471326,-4.901827396484889,40.06935982301154,-6.158207207787655,-1.8812038414957222,-17.602482108327226
2,31.7292,104.2639,8.4197,2.0,9.7222,430266.9829631685,3510655.7804450286,1269.5396799544974,580.7967205402979,6.919700000000001,40.392244750916426,29.521141093366634,34.21810212246611,6.099141507231144,1.7120293602214032,-3.151643699979286,38.8547942586061,-6.321615264753888,-0.41317216773167686,-16.97777349398482
3,31.7451,104.2552,11.7876,2.0,13.6111,429454.8361236843,3512423.77147335,1268.582265252464,582.880950289506,10.2876,39.982247043469634,30.998848546325238,35.15188276928692,7.467506366655991,1.5358387033675298,-2.8168690355505888,39.86477845078291,-5.776675425804681,0.5561530777263979,-18.1154814016588
4,31.7609,104.2465,15.1554,2.0,17.5,428642.8989233109,3514180.751552252,1267.6250976874712,584.9521995721962,13.6554,40.11852281655843,32.41112591538477,36.158097245810424,8.797401402592673,1.2630315171510964,-3.2520249020127205,41.69292576735317,-5.756296013475847,1.3534053619305997,-19.102494949622574
5,31.7767,104.2378,18.5233,2.0,21.3889,427831.2464380824,3515937.8049175763,1266.6682657643269,587.0235352499749,17.0233,40.721795902651316,33.6388576942664,36.99434883080783,10.018781655624425,1.007886200364002,-3.9316830243744896,43.65043957252452,-6.106581818048214,2.035149167817057,-19.75348087970895
6,31.7926,104.2291,21.8912,2.0,25.2778,427019.95742633205,3517706.0159531925,1265.7118623287843,589.108024358954,20.3912,41.63045599961169,34.67853484369833,37.657366773686135,11.1194613596433,0.7827107124189635,-4.667285220856653,45.5349044116854,-6.6750500295410085,2.6287760148421704,-20.146909176704256
7,31.8084,104.2204,25.2591,2.0,29.1667,426208.8758383769,3519463.2160809045,1264.7557034187153,591.1795330503564,23.7591,42.72301686552766,35.54824144732432,38.16437434677602,12.115024788753601,0.5942298157250234,-5.387817781866172,47.2750840678937,-7.374914703353063,3.152895883688922,-20.34444452003947
8,31.8243,104.2117,28.627,2.0,33.0556,425398.1599337192,3521231.5740550268,1263.799975601336,593.2641953805796,27.127,43.92032613482494,36.27284885665511,38.547445570373284,13.01011512258092,0.4432899858169252,-6.056700834830628,48.846783186741725,-8.143256063434618,3.6144821270216934,-20.398687197107712
9,31.6823,104.243,1.6839,6.0,1.9444,428250.9115622735,3505470.8738140175,1267.1629959538654,574.6843950397106,0.18389999999999995,36.10585626135753,29.4451773157144,42.87871127770637,3.607063323648136,0.3069370373066641,-3.0489299403707673,42.92290728524607,-0.35185353519455376,-3.636571611394208,-22.10019075924769
10,31.6981,104.2343,5.0518,6.0,5.8333,427438.5919133762,3507227.9251623754,1266.2053775321783,576.7557283397505,3.5518,40.7073309671874,30.257397126214894,36.4720633080209,6.168560232211912,1.2381248188039653,-4.97983764044789,42.15333716313742,-6.285359768014727,-1.0076536283370565,-18.926382669906005
11,31.714,104.2256,8.4197,6.0,9.7222,426626.63531739404,3508996.1339859283,1265.2481871023047,578.8402148409969,6.919700000000001,42.26857545146868,31.11313763547933,35.1962343681204,7.075490798110462,1.9248751866875242,-3.116591329642945,40.347249006174735,-6.924100953517662,0.12180929785899508,-17.28317709396777
12,31.7298,104.2169,11.7876,6.0,13.6111,425814.88536077813,3510753.331967465,1264.2912402731667,580.9117210023401,10.2876,42.106026681737696,32.29660878308975,36.01342268255015,8.231948680864548,1.6441016316334047,-2.6688035398614187,41.20168137632618,-6.419853278012713,1.0182812360297024,-18.22090015079182
13,31.7457,104.2082,15.1554,6.0,17.5,425003.50066355546,3512521.6876010173,1263.3347240369903,582.9963805733378,13.6554,42.28792405941286,33.492089594130746,36.95224708865462,9.49799013045986,1.3071517264434498,-3.058664281692369,42.94860819398497,-6.404669172449392,1.7823164714549211,-19.12112466283181
14,31.7615,104.1995,18.5233,6.0,21.3889,424192.32112883,3514279.032419574,1262.3784496605144,585.0680598362865,17.0233,42.85813728581445,34.55155631903117,37.73308354918728,10.685844317631185,1.021170257727314,-3.7247487724895785,44.83597108999092,-6.749898888757889,2.4314685067104325,-19.7271018987357
15,31.7774,104.1908,21.8912,6.0,25.2778,423381.50906316814,3516047.535066887,1261.422608481912,587.152892717244,20.3912,43.70262559695364,35.455607606101054,38.353340170882454,11.74960030851801,0.7866804882213502,-4.464752843789797,46.6551746775465,-7.307380921578712,2.981814241905429,-20.100764715890485
16,31.7932,104.1821,25.2591,6.0,29.1667,422570.9006799567,3517805.026925348,1260.4670074182286,589.224745320972,23.7591,44.72047205797315,36.216458423129374,38.82692140092522,12.699899165760614,0.6010217455562452,-5.202303644264862,48.336671050187284,-7.994284151444203,3.4552347022945433,-20.292971344029375
17,31.809,104.1733,28.627,6.0,33.0556,421751.1121800515,3519562.6643482004,1259.5005841999032,591.2967695260427,27.127,45.84537681414554,36.85246409904231,39.18095494745826,13.545145588352655,0.4597557713963812,-5.894169199254403,49.854749803070085,-8.75154475253293,3.864234608616032,-20.346144876145857
18,31.6671,104.2047,1.6839,10.0,1.9444,424608.42230946897,3503811.91073186,1262.8689784276148,572.7286949522768,0.18389999999999995,31.96119569527429,29.501115237823086,39.727742922061886,2.755072513720089,-1.6675525778461233,-6.056202141321583,43.13604345795028,-0.20132575333167146,-2.4952255393269027,-23.378291788050994
19,31.6829,104.196,5.0518,10.0,5.8333,423796.574473848,3505569.253198066,1261.9119162119555,574.800371442112,3.5518,42.97408755013883,31.4410154980266,38.122494271862436,7.253935522564658,1.4261427505762407,-4.863292726992179,44.093066175847326,-6.827243079666861,-0.7506935947235807,-19.58744914133559
20,31.6988,104.1873,8.4197,10.0,9.7222,422985.0936777921,3507337.7532991995,1260.9552866878475,576.8852013214578,6.919700000000001,45.01135862893234,32.354797738541535,36.4140096880643,7.963562300619547,2.01197187410237,-3.040084128281677,42.164418947652095,-7.764480166813582,0.49984762854894527,-17.518098694609318
21,31.7146,104.1786,11.7876,10.0,13.6111,422173.81578854413,3509095.2426776458,1259.9988963642777,578.9570510015733,10.2876,44.729328565321836,33.46548141528153,37.02074580064515,8.994820577054202,1.7038936290419788,-2.470723504865259,42.724026540963905,-7.19837305258754,1.4261383914994425,-18.29612965897606
22,31.7304,104.1699,15.1554,10.0,17.5,421362.82268480014,3510852.8055695025,1259.042841765499,581.0289873443667,13.6554,44.79449592159393,34.502716113776735,37.853788002654355,10.185523012814958,1.333218785222528,-2.8441833579366933,44.33433575664939,-7.147967150754887,2.160870147750975,-19.133152479693774
