,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat,x_pixel,y_pixel,z_pixel,zz_stress,xx_stress,yy_stress,xz_stress,xy_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs
0,32.6006,105.381,1.9696,2.0312,2.0,535751.0363033958,3607074.8810483217,1393.8915564724853,694.4622056304856,0.4696,19.33566628751805,12.88203970090826,29.736350500816012,1.8811840311666335,0.8491268219851444,2.3778378388160495,21.648480637606436,1.0201392475792828,-7.802603894513914,-5.120078812158237
1,32.6054,105.3762,5.9088,2.0312,6.0,535298.744292876,3607605.3770192876,1393.358363459312,695.0875908653711,4.4088,23.577586767224577,16.814946754351162,32.09426645983962,2.1285239291185967,-0.02539242430053979,-0.15941678372313592,26.248740319917996,-1.0193127089146308,-7.1396065044182215,-8.537241735178764
2,32.6102,105.3715,9.8481,2.0312,10.0,534855.8827100977,3608135.9262625608,1392.836287684706,695.7130389013264,8.3481,25.797621126416097,19.00310955289512,32.21938376291333,2.9015692224652527,-0.0818385311457938,-1.2054645042114,27.761655550800143,-2.44221986961766,-6.143461611198605,-10.04589974017097
3,32.615,105.3667,13.7873,2.0312,14.0,534403.6860057607,3608666.4627989205,1392.3032070250333,696.3384719574951,12.2873,27.12492950118905,20.79971690235256,32.27254881556869,3.498633713426846,-0.11194081166793926,-1.9023852311362255,28.89447646767267,-3.39417116298402,-5.291244956448942,-11.050377657745083
4,32.6198,105.3619,17.7265,2.0312,18.0,533951.5372178854,3609197.0198357617,1391.77018285259,696.9639291810458,16.2265,28.120672055813035,22.342560274417664,32.28782567903888,4.044881654015429,-0.17404303751284067,-2.53942494011714,29.897751326070633,-4.231965151739866,-4.538315034349916,-11.733344002538018
5,32.6246,105.3572,21.6658,2.0312,22.0,533508.8173736985,3609727.628904695,1391.2482741692097,697.589447743615,20.1658,28.985462736302285,23.688531574095663,32.2307673354136,4.573075943780143,-0.24965937165573562,-3.1277945839787464,30.773206188625068,-5.020318809862604,-3.840433911029823,-12.143122056925407
6,32.6294,105.3524,25.605,2.0312,26.0,533056.7639400763,3610258.226535752,1390.7153624069365,698.2149528224263,24.105,29.779352131923822,24.878657364327676,32.109404000982636,5.091752296257798,-0.32856442130659863,-3.652949038890827,31.53196136660919,-5.762204305152782,-3.1805905888577097,-12.337447947681916
7,32.6341,105.3476,29.5442,2.0312,30.0,532604.7947150661,3610777.759234976,1390.1825499155816,698.8274137965282,28.0442,30.517935495528928,25.93667793249106,31.93841793441952,5.59933654754072,-0.4047872238779759,-4.111088547413846,32.18531179655362,-6.454457263276094,-2.5551989887602797,-12.369352994952436
8,32.5772,105.3478,1.9696,6.0938,2.0,532644.1870239866,3604470.2298938055,1390.2289882859272,691.3916632263731,0.4696,25.370443883623448,13.610652430932799,31.595728817362463,-0.004894949911845685,1.0538746507797345,2.9187080717713227,22.428731433171194,1.7203032381195533,-8.576471328643327,-4.709936208106241
9,32.5819,105.343,5.9088,6.0938,6.0,532191.9816369943,3604989.7788948505,1389.695897390542,692.0041434181858,4.4088,25.62938113398739,16.856979025878342,32.358948406970676,1.8188766511999745,-0.17336776242311933,0.40172261690451516,26.40432899577661,-0.7247697799087955,-7.200825422258665,-8.60538951073812
