index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
566,2.6905,4,7.4455,27.73,232.66,31.2778,103.751,0.8018099999999999,1.60715,381105.5778786488,3461062.6968687004,pengguan,36.92903653705537,43.6413082293849,55.83129200616599,1.670694154411261,6.248483859966026,-13.280907274125536,1211.5848253490985,522.3329735591419,5.5945,64.12821169874891,1.4342520157823344,-4.444510176646148,-33.80672899827776
567,2.369,4,9.3069,27.73,232.54000000000002,31.3021,103.7277,0.7627999999999999,1.54788,378918.5128401629,3463781.519553138,pengguan,38.54281356389357,43.07691425687289,62.71135001683999,2.252989965713886,6.606823154363906,-13.00161954530157,1209.0065622563316,525.5381092362761,7.455900000000001,69.43742179394253,-1.5437237059208275,-3.6487326605850074,-37.70059329734232
568,3.5392,4,1.8614,27.73,243.66,31.1799,103.8003,0.95605,2.03786,385681.0362767746,3450159.346340648,pengguan,29.271663148925978,36.22223139376755,26.913851297425417,3.2177343288497156,2.037948458484794,-4.509537078493329,1216.9786912437075,509.4793520347248,0.010399999999999965,32.15273041871487,5.020337694610886,-2.3481765386635702,-13.74928102486206
569,2.9154,4,3.7228,27.73,245.89,31.2073,103.7825,0.9152399999999999,1.97711,384018.19215980335,3453214.893762938,pengguan,33.362431170799454,38.9618194515484,34.452512655870024,0.9950033171572439,3.4602583271988356,-6.997724188779654,1215.0184159247897,513.0814420542083,1.8718,41.4915914744538,5.589686243360628,-1.0144620776472215,-19.213957999776163
570,2.2436,4,5.5841,27.73,250.05,31.235,103.7662,0.9054399999999999,1.85866,382499.58172130096,3456302.4012845075,pengguan,35.448309562995206,41.98370132520871,44.683803221342295,0.5705337459729333,6.706284219362584,-11.098382886707032,1213.2281732127612,516.7212088427691,3.7331000000000003,54.33355791488165,5.636153224886083,1.0490202648780587,-26.86718902351708
571,2.6908,4,7.4455,27.73,232.66,31.2631,103.7285,0.8843300000000001,1.6947299999999998,378944.8304789375,3459457.7776924237,pengguan,37.26428900687822,43.161636624144926,54.16440294937291,1.5895396885251705,7.230371548558696,-12.064270790098753,1209.0375873038483,520.4409841549616,5.5945,62.49401858282912,1.8681788783980178,-2.9074931637010186,-34.04045848528486
572,2.3692,4,9.3069,27.73,232.93,31.2891,103.7079,0.8463200000000001,1.62959,377017.1683693765,3462362.470869187,pengguan,38.722637273363645,43.12540420444164,61.8154395263511,2.209309809695679,7.27766244404039,-12.497261034032235,1206.7651262727636,523.8652367865368,7.455900000000001,68.78988710358624,-1.0909831078736723,-2.794371921273698,-38.274139173275685
573,3.5391,4,1.8614,27.73,243.68,31.1658,103.76700000000001,1.02625,2.13168,382490.254335395,3448631.384789352,pengguan,24.84311097371176,28.903755790169193,21.2725084653571,1.3104944434431598,4.5858362293962385,-0.03477089759937097,1213.2171774470153,507.67808558605907,0.010399999999999965,24.226939549809124,3.5557568358816782,2.503774109060894,-10.18733728300087
574,3.5378,4,3.7228,27.73,243.67000000000002,31.1943,103.7505,0.9742799999999999,2.08089,380953.29576870456,3451807.9742606413,pengguan,33.14059017017645,39.57361860406007,35.51769501717068,0.13712826845798187,5.1549609271269325,-7.841707404359536,1211.4053046961467,511.42286832026116,1.8718,43.77094955961234,6.385555889154996,-0.2177452524284489,-19.873302406215664
575,3.6056,4,5.5841,27.73,243.69,31.223000000000003,103.7343,0.9503799999999999,1.9652,379446.1352402851,3455006.6712550414,pengguan,34.82398308519701,41.90087633606669,46.81669140265316,0.6309658248072788,7.424524639177406,-11.444500376993151,1209.6285599277376,515.1937129272953,3.7331000000000003,56.50412272685857,4.878677758646477,-0.08546192379895934,-29.02304739800771
576,2.6910000000000003,4,7.4455,27.73,243.84,31.2485,103.706,0.91999,1.7938,376783.54764165526,3457864.3700352195,pengguan,36.9571023402326,42.95953452361555,54.708851504646816,1.2873514376800061,7.526184596850506,-11.923395967072967,1206.4897180478642,518.5625653233265,5.5945,63.2406671629954,2.2098818363600525,-0.14500230259579272,-35.72976637806419
577,2.5409,4,9.3069,27.73,244.81,31.2759,103.6876,0.8975599999999999,1.7176900000000002,375067.44137449656,3460922.1504277117,pengguan,38.46294544846582,43.227415438344586,61.971867061195056,2.0296859786567496,7.299638163287073,-12.239039836661663,1204.466653633216,522.1672877220751,7.455900000000001,69.0703005348512,-0.6786659736544767,-0.22019877667026222,-40.72868539798312
578,3.54,4,1.8614,27.73,243.67000000000002,31.1517,103.7337,1.04369,2.19075,379298.5201602565,3447104.363493152,pengguan,30.396488240657916,36.122631599384356,30.38882098043933,1.1896621521504334,3.1100857792563232,-5.045413341110893,1209.4545410915002,505.8779275749432,0.010399999999999965,36.042746539361126,4.854031778752497,-0.9084615603896258,-16.687335771084733
579,3.5396,4,3.7228,27.73,243.66,31.1802,103.7172,0.9947600000000001,2.13462,377762.25541656686,3450281.434012855,pengguan,31.59758198445413,39.143973562256036,36.96639506996631,0.25120862897965973,6.659479340449576,-6.306529444498481,1207.6434862670321,509.6232774021894,1.8718,44.16243738995296,5.082464217345954,1.3387245499436915,-21.24164413981206
580,3.5392,4,5.5841,27.73,243.66,31.2087,103.7007,0.95581,2.0246299999999997,376226.9588708136,3453458.771486824,pengguan,34.900109007183644,42.17704797540599,47.004669972410234,1.3137344758839886,7.015999414135448,-11.186618316694297,1205.8335728210614,513.3689419335342,3.7331000000000003,56.24538448077218,4.440431406005041,-0.5449471822854666,-29.27348522152883
581,3.5393,4,7.4455,27.73,243.65,31.2373,103.6841,0.932,1.88241,374683.2396279833,3456647.573970257,pengguan,37.00830062592347,43.30964129043512,55.51730424678349,1.4725038625360403,7.254953196797221,-11.968106551978638,1204.0137301189257,517.1281222086902,5.5945,63.83856752380915,1.8847781625460112,-0.5288750920041043,-36.34556610064174
582,3.5444,4,9.3069,27.73,243.64,31.2658,103.6676,0.9268,1.7952400000000002,373149.88746579865,3459825.4478895767,pengguan,38.48330074980008,43.47367356890711,62.367392780129684,2.0295253203621892,6.563311484257915,-12.051563881897103,1202.2061088463947,520.8744191388093,7.455900000000001,69.00960796379734,-1.0771638386258324,-1.0268069187380522,-39.917606727662985
