index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs,slip_rake
1,3.8142,4,3.973,96.66,222.99,32.6194,105.4699,1.43708,1.25042,544083.8049368862,3609192.324932117,beichuan,11.645467671433199,29.36478927217892,22.786842203787927,1.0663344669295072,0.2953740683687349,1.0019147265933126,1403.7147987859244,696.9583945048572,2.1220000000000003,18.98128570179461,0.911475148416962,-8.812328454421461,-2.529430602777253,138.9730911961653
2,3.8151,4,7.9605,96.66,224.1,32.6168,105.4732,1.44738,1.1813900000000002,544394.6815110112,3608905.475676857,beichuan,14.804769223635784,30.442623282748492,23.011589718747594,0.8300930460781286,1.1170585591504116,-0.19014988932756188,1404.0812815303186,696.6202368209238,6.1095,21.352792366867885,-0.7408269091244444,-7.810754804499393,-4.965866658412784,140.77776334243603
3,3.8189,4,11.9407,96.66,225.22,32.614000000000004,105.4764,1.46385,0.99627,544696.2931502962,3608596.4230113374,beichuan,16.838376242350762,30.793934675296878,24.10534709886705,0.6233317098304392,1.741419872385504,-1.1058657460631751,1404.4368421305905,696.2559042257758,10.0897,22.794530100342026,-1.8585366098249103,-6.988259259547262,-6.445540714246433,145.7615006455354
4,3.8259,4,15.921,96.66,226.33,32.6112,105.4795,1.45666,0.8148200000000001,544988.5409519002,3608287.337077185,beichuan,18.377586211700226,30.827079038135004,25.0932414026032,0.40379709740083297,2.3703249598919043,-1.8433051770343247,1404.7813639932504,695.8915324112686,14.07,23.811733836938767,-2.8203984248642415,-6.245921494791562,-7.433852533389088,150.77841744215849
5,3.8359,4,19.9012,96.66,227.44,32.6084,105.4826,1.43474,0.6812100000000001,545280.8068050711,3607978.259643881,beichuan,19.694299782830864,30.70569967018435,25.883513138929047,0.19784731866527624,2.959871629635673,-2.474895722450201,1405.1259071363424,695.5271706181475,18.0502,24.595568912157415,-3.674489845882415,-5.524151355871195,-8.122725772141166,154.60178059972986
6,3.8489,4,23.8815,96.66,228.55,32.6055,105.4855,1.4119100000000002,0.6013200000000001,545554.3751935926,3607658.019525718,beichuan,20.866342554150854,30.50115855640448,26.53037386281353,0.014348748980677927,3.4934784452470184,-3.0239022265596565,1405.4484084186824,695.1496494823086,22.0305,25.21354881384478,-4.42532178441338,-4.821500137511701,-8.583640272988028,156.9312734159446
7,3.8648,4,27.8617,96.66,229.66,32.6025,105.4884,1.39795,0.56645,545828.0119680343,3607326.701385585,beichuan,21.914916247904614,30.247656109518147,27.082304751565715,-0.14515238260174387,3.973390093991508,-3.5036592028396814,1405.7709903190616,694.7590688102035,26.0107,25.693879046851524,-5.0804903481112085,-4.148489020591248,-8.85726169195479,157.94218556180027
8,3.8162,4,3.9875,94.53,223.0,32.5953,105.441,1.52134,1.30318,541383.6008843125,3606509.112824276,beichuan,12.109100701215205,29.908321895493284,23.060279630351985,1.2818628602923914,0.03061859889345058,1.4222033178991202,1400.531612036018,693.7952390312083,2.1365,19.283021652321636,1.2468140548850528,-8.84485920245406,-2.6375076003589726,139.41663698517874
9,3.8192,4,7.9713,94.53,225.22,32.5932,105.4434,1.5288800000000002,1.21042,541609.7901431146,3606277.255172242,beichuan,14.820875013179734,30.61448380443269,23.783932253148,0.8320277792018578,1.4427953545514407,0.14336623541672391,1400.7982595328635,693.521909241515,6.1203,21.813773178309283,-0.7584289122063292,-7.967135091362845,-5.085111029594327,141.6312091900395
10,3.8267,4,11.957,94.53,227.45,32.5912,105.4457,1.5172,0.97933,541826.5588785721,3606056.448715937,beichuan,16.84309562405699,30.89149664082539,24.65300490337469,0.5968676407303323,2.206865484873457,-0.811692775868356,1401.0538014671274,693.2616073634645,10.106000000000002,23.548303731520647,-2.00279605234536,-7.112542732602782,-6.739837758636559,147.1583597797903
11,3.8388,4,15.9427,94.53,229.66,32.589,105.4479,1.48256,0.7803899999999999,542034.0457779315,3605813.436569996,beichuan,18.43453884205529,30.898217082425703,25.493171746609,0.3905528221752818,2.797558302411081,-1.6200585584174592,1401.298401332901,692.9751278871125,14.0917,24.811871145592278,-2.991778269240281,-6.279002864178226,-7.931792775650476,152.23857649545775
12,3.8552,4,19.9283,94.53,231.86,32.5868,105.45,1.4421,0.6491899999999999,542232.1577241067,3605570.3890138464,beichuan,19.788147845811746,30.774906967963013,26.20978992343203,0.1961221358423873,3.3326970602432437,-2.319579376295388,1401.5319493573404,692.6886066667644,18.0773,25.781372389194424,-3.848639760564968,-5.460213204815197,-8.788557252544532,155.76416035697446
13,3.8761,4,23.914,94.53,234.04,32.5846,105.4521,1.41028,0.5804,542430.279261105,3605327.3453740287,beichuan,20.98201325856237,30.580365994773345,26.817716351820394,0.019769473281149627,3.829931417570172,-2.925217709039849,1401.7655086881039,692.402090063258,22.063,26.522091287333325,-4.593342187590405,-4.6632529596900465,-9.367666898239593,157.63040959668137
14,3.9014,4,27.8997,94.53,236.21,32.5823,105.4541,1.396,0.55992,542619.0722352647,3605073.1801710613,beichuan,22.047123199842744,30.34333690970563,27.351528762270807,-0.1361819831031667,4.2946124431225625,-3.4500004937819,1401.9880708656726,692.1024625941403,26.0487,27.072131032563046,-5.23354664056437,-3.9011629587220047,-9.715715301616873,158.14483046449763
15,3.8152,4,3.9965,92.4,223.01,32.5711,105.4121,1.62103,1.18426,538681.9849016129,3603815.5712943855,beichuan,12.858916329265421,29.868508474690472,24.60440806300528,1.4179540793931955,0.6489540429400461,2.006933841940679,1397.3467608055093,690.6199065225052,2.1455,19.442918462422053,1.1107745651379402,-8.458503049919054,-3.1346260648861737,143.8496226594469
