index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48
149,3.9241,4,6.1203,49.91,-137.42,32.1764,104.7338,2.3285500000000003,2.2391,474904.20638243726,3560019.620358924
150,3.9231,4,9.1804,49.91,-137.42,32.1921,104.7136,1.77824,1.74967,473004.49427277385,3561764.797519248
151,3.9219,4,12.2405,49.91,-137.42,32.2077,104.6935,1.3392700000000002,1.32991,471114.82912595494,3563499.2277550795
152,3.9207,4,15.3006,49.91,-137.42,32.2234,104.6733,1.0551,1.0088700000000002,469216.42231823463,3565245.132639452
153,3.9195,4,18.3608,49.91,-137.42,32.2391,104.6531,0.91427,0.8006000000000001,467318.6705120808,3566991.402713372
154,3.9182,4,21.4209,49.91,-137.42,32.2548,104.633,0.8870100000000001,0.69529,465430.993443899,3568738.006052515
155,3.9249,4,3.0596,49.9,-137.4,32.1347,104.7257,2.5512,2.56701,474128.80532457924,3555399.271318705
156,3.9238,4,6.1192,49.9,-137.4,32.1504,104.7056,2.1107600000000004,2.05594,472237.78094341315,3557144.5516171623
157,3.9228,4,9.1788,49.9,-137.4,32.1661,104.6854,1.7176,1.58766,470337.9784079782,3558890.2203877973
158,3.9218,4,12.2383,49.9,-137.4,32.1818,104.6653,1.38962,1.18601,468448.256716293,3560636.224564355
159,3.9207,4,15.2979,49.9,-137.4,32.1975,104.6451,1.15385,0.88251,466549.760751924,3562382.621319105
160,3.9197,4,18.3575,49.9,-137.4,32.2131,104.6249,1.02101,0.6855100000000001,464651.8806915597,3564118.2986536007
161,3.9186,4,21.4171,49.9,-137.41,32.2288,104.6048,0.9844799999999999,0.5859800000000001,462764.1142374921,3565865.3915903936
162,3.9262,4,3.0589999999999997,49.89,-137.4,32.1087,104.6975,2.56503,2.46175,471460.96075745346,3552524.415759895
163,3.9252,4,6.1181,49.89,-137.4,32.1244,104.6774,2.20099,2.0266800000000003,469569.8485741261,3554270.1848568968
164,3.9248,4,9.1771,49.89,-137.4,32.1401,104.6572,1.8707799999999999,1.5301900000000002,467669.955135637,3556016.34499563
165,3.9251,4,12.2362,49.89,-137.4,32.1558,104.6371,1.58628,1.0859299999999998,465780.1448158622,3557762.838195065
166,3.9261,4,15.2952,49.89,-137.41,32.1715,104.6169,1.3575700000000002,0.75655,463881.55711958365,3559509.726542651
167,3.9277,4,18.3543,49.89,-137.41,32.1872,104.5967,1.20192,0.5508,461983.62359735975,3561256.9803051176
168,3.9298,4,21.4133,49.89,-137.41,32.2028,104.5766,1.13026,0.45388,460095.7257156385,3562993.4779095044
169,3.9259,4,3.0585,49.87,-137.38,32.0828,104.6693,2.6889000000000003,2.41434,468791.64506499976,3549661.345960402
170,3.9995,4,6.117000000000001,49.87,-137.41,32.0982,104.6489,2.4104,1.9972900000000002,466872.0318999125,3551374.4422592917
171,4.0725,4,9.1755,49.87,-137.44,32.1136,104.6285,2.13243,1.4716900000000002,464953.0652346773,3553087.910154942
172,4.1447,4,12.234000000000002,49.87,-137.47,32.1291,104.6081,1.85929,0.97646,463034.7857093964,3554812.834515238
173,4.2163,4,15.2925,49.87,-137.5,32.1445,104.5876,1.6064399999999999,0.60933,461107.68431613396,3556527.082604085
174,4.2873,4,18.351,49.87,-137.53,32.1599,104.5672,1.4068100000000001,0.39221,459190.6627503983,3558241.668821627
175,4.3577,4,21.4095,49.87,-137.55,32.1753,104.5468,1.28903,0.30646,457274.28895869135,3559956.627766185
176,3.7804,4,3.0580000000000003,49.86,-140.7,32.0556,104.6415,2.84702,2.41424,466158.1119206824,3546654.7532688943
177,3.8546,4,6.1159,49.86,-140.67,32.0706,104.6206,2.63192,1.98739,464191.0141099799,3548324.1656217044
178,3.9281,4,9.1739,49.86,-140.65,32.0855,104.5996,2.3916500000000003,1.4214600000000002,462215.0827630236,3549982.918026535
179,4.0009,4,12.2318,49.86,-140.62,32.1005,104.5787,2.11607,0.86477,460249.2735368616,3551653.1115474887
180,4.073,4,15.2898,49.86,-140.59,32.1154,104.5578,1.8289,0.45893,458284.06388542225,3553312.6105954093
181,4.1446,4,18.3478,49.86,-140.57,32.1304,104.5369,1.58458,0.23717,456319.5429004728,3554983.5846037664
182,4.2156,4,21.4057,49.86,-140.55,32.1453,104.516,1.4265299999999999,0.1714,454355.6177461137,3556643.8646353376
183,3.7817,4,3.0574,49.85,-140.71,32.0293,104.6161,3.0276300000000003,2.4711,463750.0096867204,3543747.7930845385
184,3.7808,4,6.1148,49.85,-140.71,32.044000000000004,104.5949,2.86444,2.0064900000000003,461754.28377971,3545384.5146720805
185,3.7805,4,9.1723,49.85,-140.71,32.0587,104.5737,2.61897,1.37814,459759.1978929986,3547021.6367377867
186,3.7809,4,12.2297,49.85,-140.71,32.0734,104.5525,2.30118,0.7659999999999999,457764.75230971427,3548659.159574662
187,3.782,4,15.2871,49.85,-140.71,32.0881,104.5313,1.96953,0.3382,455770.9473134989,3550297.083475268
188,3.7836,4,18.3445,49.85,-140.72,32.1028,104.5102,1.6913900000000002,0.12514,453787.21832029853,3551935.365861732
189,3.7858,4,21.4019,49.85,-140.72,32.1175,104.48899999999999,1.51284,0.0834,451794.6938526745,3553574.0908990633
190,3.7813,4,3.0569,49.84,-140.69,32.003,104.5907,3.17768,2.57591,461340.5410659039,3540841.401252729
191,3.7801,4,6.1138,49.84,-140.69,32.0177,104.5695,3.03915,2.05363,459344.6188892883,3542478.585637224
192,3.7789,4,9.1706,49.84,-140.69,32.0324,104.5483,2.76222,1.34686,457349.33627680154,3544116.1705669686
193,3.7776,4,12.2275,49.84,-140.69,32.0471,104.5271,2.39011,0.69963,455354.69351193064,3545754.156335373
194,3.7764,4,15.2844,49.84,-140.69,32.0618,104.506,2.01783,0.27336,453370.1302264741,3547392.5000278517
195,3.7752,4,18.3413,49.84,-140.7,32.0765,104.4848,1.72102,0.08109000000000001,451376.7665127106,3549031.2864865432
196,3.7739999999999996,4,21.3981,49.84,-140.7,32.0912,104.4636,1.5409899999999999,0.06583,449384.04349994985,3550670.4746605065
197,3.7832,4,3.0563,49.83,-140.68,31.9767,104.5653,3.27185,2.74127,458929.7073487293,3537935.576993059
198,3.7822,4,6.1127,49.83,-140.68,31.9914,104.5441,3.12277,2.1560200000000003,456933.5885759569,3539573.2239040406
199,3.7813,4,9.169,49.83,-140.68,32.0061,104.5229,2.79297,1.37595,454938.1089108986,3541211.271428024
200,3.7803,4,12.2253,49.83,-140.68,32.0208,104.5018,2.37056,0.7142200000000001,452952.71219641675,3542849.676314309
201,3.7793,4,15.2817,49.83,-140.69,32.0355,104.4806,1.97659,0.30698000000000003,450958.510104092,3544488.524080965
202,3.7783,4,18.338,49.83,-140.69,32.0502,104.4594,1.68376,0.13907,448964.94797241275,3546127.7733397763
203,3.7774,4,21.3943,49.83,-140.69,32.0649,104.4382,1.52222,0.14337,446972.02608672064,3547767.4243832133
204,3.7822,4,3.0558,49.81,-140.67,31.9504,104.5399,3.30269,2.97943,456517.509824446,3535030.319522661
205,3.7812,4,6.1116,49.81,-140.67,31.9651,104.5187,3.09112,2.3393599999999997,454521.19412797404,3536668.4286895893
206,3.7802,4,9.1674,49.81,-140.68,31.9798,104.4975,2.68969,1.513,452525.51708255213,3538306.9385379283
207,3.7793,4,12.2232,49.81,-140.68,31.9945,104.4764,2.23962,0.86365,450539.9252449988,3539945.8036178863
208,3.7783,4,15.279000000000002,49.81,-140.68,32.0092,104.4552,1.8606,0.48034,448545.5248618378,3541585.1138471533
209,3.7774,4,18.3347,49.81,-140.68,32.0239,104.434,1.6030000000000002,0.32474000000000003,446551.7639837033,3543224.8256381843
210,3.7764,4,21.3905,49.81,-140.68,32.0386,104.4128,1.48089,0.32936000000000004,444558.6428962957,3544864.9392838576
211,3.7826,4,3.0552,49.8,-140.66,31.9241,104.5145,3.28139,3.28691,454103.9497810512,3532125.6280562063
212,3.7819,4,6.1105,49.8,-140.67,31.9388,104.4933,2.9156500000000003,2.64535,452107.4368323513,3533764.1992084645
213,3.7811,4,9.1657,49.8,-140.67,31.9535,104.4721,2.45502,1.83095,450111.5620777828,3535403.171111205
214,3.7804,4,12.220999999999998,49.8,-140.67,31.9682,104.45100000000001,2.0322299999999998,1.20481,448125.77478702867,3537042.496117541
215,3.7797,4,15.2762,49.8,-140.67,31.9829,104.4298,1.71508,0.8228099999999999,446131.1757837521,3538682.268540782
216,3.779,4,18.3315,49.8,-140.67,31.9976,104.4086,1.5217,0.64581,444137.2158296383,3540322.442596062
