index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
1,3.8142,4,3.9730000000000003,96.66,222.99,32.6194,105.4699,1.43708,1.25042,544083.8049368862,3609192.324932117,beichuan,11.645467671433199,29.36478927217892,22.78684220378793,1.066334466929507,0.29537406836873487,1.0019147265933126,1403.7147987859244,696.9583945048571,2.1220000000000003,18.981285701794608,0.9114751484169619,-8.812328454421461,-2.5294306027772535
2,3.8151,4,7.9605,96.66,224.1,32.6168,105.4732,1.4473799999999999,1.1813900000000002,544394.6815110112,3608905.4756768565,beichuan,14.804769223635782,30.442623282748496,23.011589718747587,0.8300930460781286,1.1170585591504116,-0.19014988932756188,1404.0812815303184,696.6202368209238,6.1095,21.352792366867888,-0.7408269091244444,-7.810754804499392,-4.965866658412784
3,3.8189,4,11.9407,96.66,225.22,32.614000000000004,105.4764,1.46385,0.9962700000000001,544696.2931502962,3608596.4230113374,beichuan,16.838376242350762,30.79393467529688,24.105347098867043,0.6233317098304392,1.7414198723855039,-1.1058657460631753,1404.4368421305903,696.2559042257758,10.0897,22.794530100342026,-1.8585366098249105,-6.988259259547262,-6.445540714246432
4,3.8259,4,15.921,96.66,226.33,32.6112,105.4795,1.45666,0.8148200000000001,544988.5409519002,3608287.337077185,beichuan,18.377586211700226,30.827079038135004,25.093241402603205,0.40379709740083297,2.370324959891904,-1.8433051770343252,1404.7813639932506,695.8915324112686,14.07,23.81173383693877,-2.820398424864242,-6.245921494791561,-7.433852533389088
5,3.8359,4,19.9012,96.66,227.44,32.6084,105.4826,1.43474,0.6812100000000001,545280.8068050711,3607978.259643881,beichuan,19.694299782830864,30.705699670184348,25.883513138929043,0.19784731866527622,2.959871629635673,-2.474895722450201,1405.1259071363424,695.5271706181475,18.0502,24.595568912157418,-3.674489845882415,-5.524151355871195,-8.122725772141166
6,3.8489,4,23.8815,96.66,228.55,32.6055,105.4855,1.4119100000000002,0.6013200000000001,545554.3751935926,3607658.019525718,beichuan,20.866342554150858,30.501158556404476,26.53037386281353,0.014348748980677927,3.493478445247019,-3.023902226559656,1405.4484084186824,695.1496494823086,22.0305,25.21354881384478,-4.42532178441338,-4.821500137511701,-8.583640272988028
7,3.8648,4,27.8617,96.66,229.66,32.6025,105.4884,1.39795,0.56645,545828.0119680343,3607326.701385585,beichuan,21.914916247904614,30.247656109518143,27.082304751565715,-0.14515238260174387,3.9733900939915077,-3.5036592028396814,1405.7709903190616,694.7590688102036,26.0107,25.693879046851524,-5.080490348111208,-4.148489020591248,-8.85726169195479
8,3.8162,4,3.9875,94.53,223.0,32.5953,105.441,1.52134,1.30318,541383.6008843125,3606509.112824276,beichuan,12.109100701215203,29.908321895493277,23.060279630351992,1.2818628602923914,0.03061859889345058,1.42220331789912,1400.531612036018,693.7952390312084,2.1365,19.283021652321633,1.2468140548850528,-8.84485920245406,-2.6375076003589726
9,3.8192,4,7.9713,94.53,225.22,32.5932,105.4434,1.5288800000000002,1.21042,541609.7901431146,3606277.255172242,beichuan,14.820875013179737,30.614483804432687,23.783932253147995,0.8320277792018578,1.4427953545514407,0.14336623541672391,1400.7982595328635,693.521909241515,6.1203,21.813773178309283,-0.7584289122063292,-7.967135091362845,-5.0851110295943265
10,3.8267,4,11.957,94.53,227.45,32.5912,105.4457,1.5172,0.9793299999999999,541826.5588785721,3606056.448715937,beichuan,16.84309562405699,30.89149664082539,24.653004903374693,0.5968676407303323,2.206865484873457,-0.811692775868356,1401.0538014671274,693.2616073634645,10.106000000000002,23.548303731520654,-2.00279605234536,-7.112542732602783,-6.7398377586365585
11,3.8388,4,15.9427,94.53,229.66,32.589,105.4479,1.48256,0.7803899999999999,542034.0457779315,3605813.436569996,beichuan,18.43453884205529,30.898217082425706,25.493171746608997,0.3905528221752818,2.797558302411081,-1.620058558417459,1401.298401332901,692.9751278871126,14.0917,24.811871145592278,-2.991778269240281,-6.279002864178226,-7.931792775650476
12,3.8552,4,19.9283,94.53,231.86,32.5868,105.45,1.4421,0.6491899999999999,542232.1577241067,3605570.3890138464,beichuan,19.788147845811746,30.774906967963013,26.209789923432027,0.1961221358423873,3.3326970602432433,-2.3195793762953882,1401.5319493573406,692.6886066667644,18.0773,25.78137238919442,-3.8486397605649683,-5.460213204815197,-8.788557252544532
13,3.8761,4,23.914,94.53,234.04000000000002,32.5846,105.4521,1.41028,0.5804,542430.279261105,3605327.3453740287,beichuan,20.982013258562375,30.580365994773345,26.817716351820387,0.019769473281149627,3.829931417570172,-2.9252177090398495,1401.765508688104,692.4020900632581,22.063000000000002,26.522091287333335,-4.593342187590405,-4.663252959690047,-9.367666898239591
14,3.9014,4,27.8997,94.53,236.20999999999998,32.5823,105.4541,1.396,0.55992,542619.0722352647,3605073.180171061,beichuan,22.047123199842744,30.34333690970563,27.351528762270814,-0.1361819831031667,4.2946124431225625,-3.4500004937819,1401.9880708656724,692.1024625941404,26.0487,27.072131032563043,-5.23354664056437,-3.901162958722005,-9.715715301616871
15,3.8152,4,3.9965,92.4,223.01,32.5711,105.4121,1.62103,1.18426,538681.9849016129,3603815.5712943855,beichuan,12.858916329265421,29.86850847469047,24.604408063005277,1.4179540793931955,0.6489540429400461,2.006933841940679,1397.3467608055093,690.6199065225051,2.1455,19.442918462422057,1.1107745651379402,-8.458503049919054,-3.1346260648861737
