,index,ul_lon,ul_lat,ul_z,ur_lon,ur_lat,ur_z,lr_lon,lr_lat,lr_z,ll_lon,ll_lat,ll_z,s_slip_m,d_slip_m,slip_m,s_slip_m_err,d_slip_m_err,slip_m_err,lon_center,lat_center,easting_utm48,northing_utm48,z_center,ul_east,ul_north,ur_east,ur_north,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
77,1823,103.671,31.022,1.6,103.64299999999999,30.995,1.6,103.626,31.011999999999997,3.3,103.65299999999999,31.038,3.3,0.0,0.02,0.02,0.0,0.07,0.07,103.64825,31.01675,370970.65792862006,3432242.64870459,2.45,373149.36884128366,3432798.371723925,370440.0649120049,3429837.986265075,227.53568012460988,34.60218386430448,peng_a,77.00404290284692,376.22830606969376,233.3898695763054,-49.02714433453171,109.52380814445499,-407.80909547330134,1199.6370827829246,488.3579132816733,0.5990000000000002,601.5855999266935,158.9037456173684,-242.287077214539,-71.20418023480926
78,1824,103.64299999999999,30.995,1.6,103.615,30.968000000000004,1.6,103.59700000000001,30.985,3.3,103.626,31.011999999999997,3.3,0.0,0.0,0.0,0.0,0.0,0.0,103.62025,30.99,368260.9321361686,3429310.506355792,2.45,370440.0649120049,3429837.986265075,367729.2676053729,3426878.253232549,227.5136651521521,34.20060120719757,peng_a,217.8230249316894,-131.36938665153218,-195.28613223611006,129.36771887481052,75.51696756415642,5.369016941265677,1196.4426711494075,484.9013016731408,0.5990000000000002,-121.736179204867,61.17710285464779,140.44766733747514,226.23500102569153
79,1825,103.615,30.968000000000004,1.6,103.587,30.941999999999997,1.6,103.569,30.958000000000002,3.3,103.59700000000001,30.985,3.3,0.0,0.34,0.34,0.0,0.11,0.11,103.59200000000001,30.96325,365525.8477065291,3426379.3178403983,2.45,367729.2676053729,3426878.253232549,365018.3840612245,3424030.011660827,226.41540873740558,34.17131690677668,peng_a,-248.6901086172644,-109.87302463291005,-430.40146986066435,-59.35225159669295,66.57206508916498,-281.0374260946719,1193.218365005579,481.4458145092042,0.5990000000000002,-99.54017432792307,237.90431936451822,-157.69848254598773,345.14883472643595
80,1826,103.587,30.941999999999997,1.6,103.559,30.915,1.6,103.541,30.932,3.3,103.569,30.958000000000002,3.3,0.0,0.28,0.28,0.01,0.12,0.12,103.564,30.93675,362813.5144772426,3423476.1941999113,2.45,365018.3840612245,3424030.011660827,362304.6309311408,3421071.580439789,227.47000722315082,34.206048464811374,peng_a,-50.561506518330674,24.14147810267029,-123.24978233386757,-42.20312345702258,20.16723129388579,2.1018189625568584,1190.020879545706,478.0234121552303,0.5990000000000002,-62.932534513541796,76.65029842758705,-5.410896677503224,114.60056476592513
81,1827,103.559,30.915,1.6,103.531,30.888,1.6,103.51299999999999,30.905,3.3,103.541,30.932,3.3,0.61,0.0,0.61,0.1,0.0,0.1,103.536,30.91,360099.3539915881,3420546.0102138864,2.45,362304.6309311408,3421071.580439789,359589.38856462477,3418113.798406605,227.44808425596185,33.81222419317243,peng_a,191.31847986580385,812.2354194771558,267.08003335715756,-229.9921410351044,95.63828406974159,-309.3704592438832,1186.821239990014,474.5691091997883,0.5990000000000002,689.4719205115919,338.09184842077855,-276.49947248490423,23.0754266047922
82,1828,103.531,30.888,1.6,103.50299999999999,30.862,1.6,103.485,30.878,3.3,103.51299999999999,30.905,3.3,0.0,0.0,0.0,0.0,0.0,0.0,103.508,30.88325,357383.7180243245,3417616.4748938736,2.45,359589.38856462477,3418113.798406605,356874.1442407889,3415267.5052676974,226.3498344404264,34.15881564939382,peng_a,37.55083875342173,852.016006255677,320.56364950505514,442.3338233733633,-61.7749371480214,-496.194276400783,1183.6198610348483,471.11557093657484,0.5990000000000002,520.4779897657288,-21.769503763342556,-560.5012985462507,248.63710201783368
83,1829,103.50299999999999,30.862,1.6,103.475,30.835,1.6,103.45700000000001,30.851999999999997,3.3,103.485,30.878,3.3,0.0,0.01,0.01,0.0,0.04,0.04,103.48,30.85675,354666.98506284907,3414715.2974791164,2.45,356874.1442407889,3415267.5052676974,354155.9541876377,3412311.018588085,227.4046081527861,34.19312067804379,peng_a,400.9565829450242,65.37516853956829,154.58409491037173,190.1380666230673,13.591172387270678,54.11837142620057,1180.4171888672545,467.6954629277079,0.5990000000000002,86.63412704460558,-69.37058095118039,123.57795081116723,89.73680369418186
84,1830,103.475,30.835,1.6,103.447,30.808000000000003,1.6,103.429,30.825,3.3,103.45700000000001,30.851999999999997,3.3,0.0,0.0,0.0,0.0,0.01,0.01,103.452,30.83,351948.40885413776,3411787.0563142165,2.45,354155.9541876377,3412311.018588085,351436.2790225893,3409355.17783171,227.38277720096832,33.799369513431,peng_a,722.7813553262997,283.93286450992724,157.62126683753846,16.100494538026688,43.55594362916693,215.74733407628324,1177.2123437527043,464.2434503037898,0.5990000000000002,134.48443693418847,94.71326558107613,268.924730202825,204.4253023025343
85,1831,103.447,30.808000000000003,1.6,103.419,30.781999999999996,1.6,103.40100000000001,30.798000000000002,3.3,103.429,30.825,3.3,0.0,0.46,0.46,0.0,0.06,0.06,103.424,30.80325,349228.3612200009,3408859.4605696187,2.45,351436.2790225893,3409355.17783171,348716.68578071264,3406510.8235135283,226.28453501047818,34.14631861646728,peng_a,-581.5801249416221,-1297.8005275075031,-533.8341671667381,6.5410175452106065,-17.884023741870227,1062.1686452536471,1174.005764020389,460.79219854583357,0.5990000000000002,-1393.5774638891266,-487.5527630508417,797.4430141075732,1770.824528523744
86,1832,103.419,30.781999999999996,1.6,103.391,30.755,1.6,103.37299999999999,30.772,3.3,103.40100000000001,30.798000000000002,3.3,0.0,0.07,0.07,0.0,0.11,0.11,103.396,30.77675,346507.2405670794,3405960.219689018,2.45,348716.68578071264,3406510.8235135283,345994.0710331339,3403556.271601186,227.33948294288615,34.180198399138305,peng_a,-297.11246236519975,-474.5902222696741,-476.71877238221754,50.406151085252475,20.492708363972437,507.61392675275135,1170.7979193395322,457.37437345697845,0.5990000000000002,-800.2531427608151,-117.01739365764288,344.4152207962681,843.9030571110561
