,index,ul_lon,ul_lat,ul_z,ur_lon,ur_lat,ur_z,lr_lon,lr_lat,lr_z,ll_lon,ll_lat,ll_z,s_slip_m,d_slip_m,slip_m,s_slip_m_err,d_slip_m_err,slip_m_err,lon_center,lat_center,easting_utm48,northing_utm48,z_center,ul_east,ul_north,ur_east,ur_north,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
238,4045,104.125,31.589000000000002,8.2,104.09700000000001,31.561999999999998,8.2,104.08,31.579,9.8,104.10799999999999,31.605999999999998,9.8,0.0,0.0,0.0,,,,104.1025,31.584,414844.228417837,3494676.0756711056,9.0,416983.5627109001,3495212.9843822108,414302.2389559402,3492241.8624653285,227.93495719305145,33.0723212522119,peng_b,34.699928969082,38.30664410585654,47.49214323222754,1.134382431480459,11.115586930419276,-5.556948735006096,1251.3582733052622,561.9587425529376,7.149,54.522606643815216,-0.776440104926662,2.753013771140189,-29.853154214835737
239,4046,104.09700000000001,31.561999999999998,8.2,104.069,31.535999999999998,8.2,104.052,31.553,9.8,104.08,31.579,9.8,0.0,0.0,0.0,,,,104.0745,31.5575,412162.6118502052,3491760.9128856976,9.0,414302.2389559402,3492241.8624653285,411620.33542597026,3489382.2529163286,226.83673965672645,33.0050957844783,peng_b,35.77371440161625,38.80250847718911,48.81546593672081,1.1697297328597078,11.95337355887495,-5.816144207086146,1248.1969987644443,558.5221476246816,7.149,56.424161459009504,-0.7053142821123997,3.111173619317272,-30.664376262311666
240,4047,104.069,31.535999999999998,8.2,104.041,31.509,8.2,104.023,31.526,9.8,104.052,31.553,9.8,0.0,0.0,0.0,,,,104.04625,31.531,409455.76672529563,3488846.62739631,9.0,411620.33542597026,3489382.2529163286,408935.9969702358,3486412.472581998,227.8900599440083,32.689315811546685,peng_b,36.441723524736865,39.126546739027276,51.178141639854985,0.8513559166277741,13.059926635461633,-6.477060237210437,1245.0059830604837,555.0865869134755,7.149,59.392991770035536,-0.7612779688374953,3.7311178919409276,-31.82780545208289
241,4048,104.041,31.509,8.2,104.01299999999999,31.482,8.2,103.99600000000001,31.499000000000002,9.8,104.023,31.526,9.8,0.0,0.0,0.0,,,,104.01825,31.504,406770.6608167416,3485877.3903173683,9.0,408935.9969702358,3486412.472581998,406250.1394627254,3483443.3615365517,227.8675101860212,32.685015989285404,peng_b,36.79532336260033,39.885345069060925,53.95555811501886,0.39225619754147595,13.686167884528363,-7.550667088890405,1241.8405950439528,551.5862454789053,7.149,62.769103101071394,-1.0444614625118973,3.427846893717998,-34.07802299923546
242,4049,104.01299999999999,31.482,8.2,103.985,31.456,8.2,103.96799999999999,31.47300000000001,9.8,103.99600000000001,31.499000000000002,9.8,0.02,0.0,0.02,,,,103.9905,31.4775,404108.2947833197,3482964.024008145,9.0,406250.1394627254,3483443.3615365517,403563.7890903443,3480585.759705651,226.76929137180358,32.99271024011142,peng_b,37.19363649383391,40.98113171059604,55.7937098199442,0.2721282776748446,13.258265840648804,-8.990866470572243,1238.702014360426,548.1517683606653,7.149,65.07293113768384,-1.3391176075503877,1.8987214170822089,-36.72031748762857
243,4050,103.985,31.456,8.2,103.95700000000001,31.429000000000002,8.2,103.939,31.445999999999998,9.8,103.96799999999999,31.47300000000001,9.8,0.0,0.0,0.0,,,,103.96224999999998,31.451,401396.94213219924,3480051.762423072,9.0,403563.7890903443,3480585.759705651,400874.925210907,3477617.984137247,227.82279455848374,32.6765724190307,peng_b,37.568107613520866,41.82762878238496,56.0998001543161,0.6120372455832683,13.184746780088641,-9.556766049380323,1235.5056848737186,544.7185935674383,7.149,65.685462776981,-0.9901870498056162,1.6465440964513434,-37.48992973955961
244,4051,103.95700000000001,31.429000000000002,8.2,103.929,31.401999999999997,8.2,103.911,31.419,9.8,103.939,31.445999999999998,9.8,0.0,0.0,0.0,,,,103.934,31.424,398683.5498959708,3477084.7588076214,9.0,400874.925210907,3477617.984137247,398184.54650030046,3474650.87477086,227.80033671103453,32.305346746161774,peng_b,37.17830988907609,41.97061564295116,56.90986810327534,0.6470664867949389,13.254528432592538,-9.595492378012862,1232.30695098343,541.2208850936568,7.149,66.30666689476875,-1.150509471638113,1.5432086979890247,-37.859119587352275
245,4052,103.929,31.401999999999997,8.2,103.90100000000001,31.375999999999998,8.2,103.883,31.392,9.8,103.911,31.419,9.8,0.0,0.0,0.0,,,,103.906,31.39725,395992.6741700777,3474145.9065532377,9.0,398184.54650030046,3474650.87477086,395493.76143495727,3471795.2715645814,226.70211769992468,32.641365337009496,peng_b,36.80794102236267,41.7413863870267,58.34003918278002,0.5985721420521454,13.07594700798623,-9.681099092214334,1229.1347611083193,537.7563633856882,7.149,67.20829522250568,-2.1683848012701237,1.0756600286917788,-37.90445298702099
246,4053,103.90100000000001,31.375999999999998,8.2,103.87299999999999,31.349,8.2,103.855,31.366,9.8,103.883,31.392,9.8,0.0,0.0,0.0,,,,103.878,31.37075,393300.5816526868,3471235.4291946017,9.0,395493.76143495727,3471795.2715645814,392800.38464858336,3468829.4915169445,227.755802725056,32.67753794200602,peng_b,36.41101225323802,41.51349062027711,60.70661322721335,0.0513289633878076,12.28673001473492,-10.978123749199035,1225.961136795478,534.32529196163,7.149,69.31909909269328,-2.9603208869947473,0.06998329508225609,-38.63031146614163
247,4054,103.87299999999999,31.349,8.2,103.845,31.322,8.2,103.82700000000001,31.339000000000002,9.8,103.855,31.366,9.8,0.0,0.12,0.12,,,,103.85,31.344,390606.7155171714,3468297.9050541366,9.0,392800.38464858336,3468829.4915169445,390105.4972352701,3465864.374557817,227.73343679858849,32.29269040231978,peng_b,36.47560039510027,42.45681390021013,59.48297423885612,0.20877515232344454,10.320295043888922,-12.629086934694143,1222.7854216192786,530.8623359259386,7.149,68.50273700776208,-2.0151712114333904,-2.3253678256825037,-38.024589956789285
