,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
0,31.695,104.219,94.189,91.649,1.32,0.0,117.2,425986.18923497,3506894.5994267007,2.64,221.0,45.0,0.0,0.0,beichuan,-426.9919887023857,259.2332925901701,-427.0392249585112,12.858316026427005,8.503826259541217,-170.43102836088835,1264.4931850936018,576.3627809755722,0.7890000000000001,-167.47116736243476,141.33732347315276,-325.99806029161965,455.8008315625701
1,31.627,104.15,87.596,84.177,1.32,9.0,130.0,419388.29271918203,3499406.2431782107,2.64,221.0,45.0,5.785088487178854,6.894399988070803,beichuan,-639.701919166001,-219.6109926769315,-370.58776697441283,-997.7009906660327,32.37015458447685,326.87343518868516,1256.715129673571,567.5349902143325,0.7890000000000001,-110.760936789389,449.8450328995073,-55.8071374753238,519.7500544354237
2,31.559,104.081,80.994,76.69800000000002,1.32,1.8,121.0,412780.9340998672,3491921.97728658,2.64,221.0,45.0,0.9270685348380976,1.5429011412638023,beichuan,-523.1136911174144,-395.871733245464,197.8497911901933,915.5300732903343,-547.1488465252132,522.4368826631426,1248.9259196733738,558.7120214478405,0.7890000000000001,-1344.2466339631903,-786.4085149241575,70.52790149689493,1596.1127574765223
3,31.491,104.012,74.383,69.234,1.32,6.3,119.5,406164.13592539716,3484441.786118372,2.64,221.0,45.0,3.1022684286518416,5.483240884421368,beichuan,65.98398574647466,-975.4655164884675,-63.44408300655364,-294.23396377651284,-401.29244859074333,1733.8184180971332,1241.1255816745834,549.8938562463213,0.7890000000000001,-1517.518218720515,-13.727652468811016,1074.7778958355243,1985.3764920439585
4,31.423,103.943,67.763,61.775,1.32,0.0,123.2,399537.92067657603,3476965.6539229257,2.64,221.0,45.0,0.0,0.0,beichuan,-221.57701806088605,617.2017560142672,-169.60840559587214,661.0916183996239,-171.72054651454002,-978.3304052898658,1233.3141421791242,541.0804760418109,0.7890000000000001,169.83251498235657,-172.8024335725163,-830.366730700861,746.2570735491054
5,31.355,103.875,61.228,54.31800000000001,1.32,0.45,130.0,392997.4298173265,3469492.592458776,2.64,221.0,45.0,0.28925442435894266,0.3447199994035401,beichuan,742.7801993700039,619.4031899263344,770.9982875902815,37.71536605913097,-309.89583920815613,727.3225863802375,1225.6037605058568,532.2707158271182,0.7890000000000001,0.615611507406534,-59.33476757782091,291.28873625419953,296.9011202147497
6,31.288,103.806,54.588,46.867,1.32,1.35,101.5,386353.7168450464,3462135.313357439,2.64,221.0,45.0,0.2691467114632161,1.32289835123812,beichuan,727.227343974454,942.8754356074663,984.1021724918045,89.84003821410724,71.58077843497601,-258.15696327079087,1217.7716934872979,523.5974478463459,0.7890000000000001,1080.9797230604872,-126.5113553265702,-171.22145957001746,-435.6983995191971
7,31.22,103.737,47.94,39.419,1.32,4.05,113.5,379699.52090033685,3454671.204396878,2.64,221.0,45.0,1.6149337291472468,3.714093301259752,beichuan,773.7756706452058,1060.3548649339548,1188.9076150947312,87.9918146345791,32.51617555566905,47.47479946184146,1209.9272684179068,514.7982414602702,0.7890000000000001,992.8416688531938,-189.45994460915148,-51.255909522562284,-399.4341708956574
8,31.152,103.668,41.282,31.964,1.32,6.75,130.0,373035.9968031974,3447211.090477905,2.64,221.0,45.0,4.33881636538414,5.1707999910531015,beichuan,-125.249955052571,41.92481592481073,124.21701265732302,140.8005110942118,75.95958584781981,-80.57123240317985,1202.0718466791395,506.00374470472593,0.7890000000000001,75.93245027147553,-158.47147402994986,-52.433512078658936,121.36111355921871
9,31.084,103.6,34.71,24.524,1.32,8.1,85.0,366458.5623786425,3439753.751138932,2.64,221.0,45.0,-0.7059615162560308,8.069177054543138,beichuan,-464.3583606962485,-307.2959225643106,-152.58634783495788,44.10306650183603,62.887954093845096,-2.090380091321404,1194.317913383371,497.2125188154282,0.7890000000000001,-247.67483644942018,-143.9220427826305,-22.59094294293067,294.2891669835486
10,31.016,103.531,28.034,17.088,1.32,9.01,110.5,359776.51761199406,3432301.520418922,2.64,221.0,45.0,3.155368505147801,8.439416425128062,beichuan,263.63418574579686,354.1210844266463,261.65141172291356,-34.548498147223654,-218.4954817422859,23.853526939374618,1186.4406582021556,488.4273153184665,0.7890000000000001,118.67237007409771,37.57091337932212,-123.71173475103795,58.08759406751915
11,30.948,103.462,21.349,9.656,1.32,4.95,85.0,353085.21086642216,3424853.2355549037,2.64,221.0,45.0,-0.43142092660090775,4.931163755554142,beichuan,1090.4377784412982,1195.5443245773558,955.0994374586274,452.89780362515944,-74.51164086807776,-143.12323796919867,1178.5524843614558,479.6467634686642,0.7890000000000001,858.805770154938,-133.95631063048228,-103.17476367432339,-346.1996810346285
12,30.88,103.393,14.654000000000002,2.228,1.32,0.45,124.8,346384.66408363765,3417408.879872505,2.64,221.0,45.0,0.25682110545799425,0.3695171441101669,beichuan,783.8806055678065,892.8807680116317,524.4929460003457,320.85343283659176,117.88807055508502,-57.02458082066888,1170.6534177276744,470.87084360912104,0.7890000000000001,645.1616364635199,-5.714056900525179,17.669900312738502,-368.52614928168384
13,30.812,103.324,7.95,-5.207000000000002,1.32,0.0,129.2,339674.8991377223,3409968.436583037,2.64,221.0,45.0,0.0,0.0,beichuan,315.24997973983125,361.53204244679137,166.47326093567415,333.30789621014947,114.93776635660619,189.51237957162772,1162.743484087487,462.0995359481726,0.7890000000000001,48.20307380517838,-80.6835128057906,171.0522677217116,160.20432400521386
