lat,lon,x,y,z,slip,rake
32.8940,105.7900,241.9830,224.4150,0.5300,0.0000,150.8000
32.8360,105.7090,234.4550,217.9470,0.5300,0.0000,130.0000
32.7780,105.6270,226.8240,211.4950,0.5300,0.4000,150.0000
32.7200,105.5460,219.2770,205.0390,0.5300,0.0000,157.5000
32.6620,105.4640,211.6260,198.6000,0.5300,0.2000,180.0000
32.6040,105.3820,203.9650,192.1560,0.5300,0.2000,142.5000
32.5470,105.3010,196.3880,185.7290,0.5300,0.0000,130.0000
32.4890,105.2190,188.7070,179.2960,0.5300,0.2000,154.2000
32.4310,105.1380,181.1110,172.8810,0.5300,0.2000,133.3000
32.3730,105.0560,173.4110,166.4600,0.5300,7.2000,155.0000
32.3150,104.9750,165.7950,160.0570,0.5300,5.8500,165.0000
32.2570,104.8930,158.0760,153.6480,0.5300,6.0000,140.0000
32.9030,105.7810,241.1350,225.4500,4.2900,0.0000,155.0000
32.8450,105.6990,233.5130,218.9820,4.2900,0.0000,141.7000
32.7870,105.6180,225.9760,212.5320,4.2900,0.0000,150.8000
32.7300,105.5360,218.3350,206.0870,4.2900,0.4670,130.0000
32.6720,105.4550,210.7780,199.6380,4.2900,0.0000,132.5000
32.6140,105.3730,203.1170,193.2050,4.2900,0.0000,175.8000
32.5560,105.2920,195.5410,186.7680,4.2900,0.9330,135.0000
32.4980,105.2100,187.8600,180.3470,4.2900,4.6670,138.3000
32.4400,105.1290,180.2640,173.9210,4.2900,4.2000,130.8000
32.3820,105.0470,172.5640,167.5120,4.2900,7.4670,138.3000
32.3250,104.9660,164.9490,161.0980,4.2900,12.1330,170.0000
32.2670,104.8840,157.2300,154.7010,4.2900,9.8000,134.2000
32.9120,105.7710,240.1920,226.4840,8.0500,0.0000,169.2000
32.8550,105.6900,232.6650,220.0290,8.0500,0.0000,140.0000
32.7970,105.6080,225.0340,213.5680,8.0500,0.0000,163.3000
32.7390,105.5270,217.4870,207.1240,8.0500,0.4670,131.7000
32.6810,105.4450,209.8360,200.6750,8.0500,2.8000,179.2000
32.6230,105.3640,202.2700,194.2430,8.0500,1.4000,180.0000
32.5650,105.2820,194.6000,187.8060,8.0500,4.6670,175.0000
32.5080,105.2010,187.0130,181.3860,8.0500,2.3330,156.7000
32.4500,105.1190,179.3240,174.9610,8.0500,2.3330,142.5000
32.3920,105.0380,171.7180,168.5530,8.0500,0.0000,130.0000
32.3340,104.9560,164.0090,162.1510,8.0500,1.8670,159.2000
32.2760,104.8750,156.3840,155.7430,8.0500,1.8670,148.3000
32.9220,105.7620,239.3440,227.5310,11.8100,0.0000,130.8000
32.8640,105.6800,231.7230,221.0640,11.8100,0.0000,150.0000
32.8060,105.5990,224.1860,214.6150,11.8100,0.0000,130.0000
32.7480,105.5170,216.5460,208.1610,11.8100,0.9330,147.5000
32.6910,105.4360,208.9890,201.7240,11.8100,0.9330,173.3000
32.6330,105.3540,201.3290,195.2820,11.8100,2.8000,172.5000
32.5750,105.2730,193.7530,188.8560,11.8100,4.6670,176.7000
32.5170,105.1910,186.0730,182.4260,11.8100,3.2670,155.0000
32.4590,105.1100,178.4770,176.0130,11.8100,1.8670,130.0000
32.4010,105.0280,170.7780,169.5940,11.8100,0.0000,130.0000
32.3430,104.9470,163.1630,163.1930,11.8100,0.4670,174.2000
32.2850,104.8650,155.4440,156.7860,11.8100,0.9330,161.7000
32.9310,105.7530,238.4950,228.5660,15.5600,0.0000,161.7000
32.8730,105.6710,230.8750,222.1000,15.5600,0.0000,171.7000
32.8160,105.5900,223.3380,215.6520,15.5600,0.0000,172.5000
32.7580,105.5080,215.6980,209.1980,15.5600,0.0000,135.8000
