lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip
31.511,104.218,93.949,71.259,1.93,0.0,100.0,425745.5428672619,3486500.677313087,3.86,223,34
31.445,104.146,87.061,64.022,1.93,3.7,110.0,418851.6536885893,3479236.3233045065,3.86,223,34
31.379,104.074,80.163,56.79,1.93,2.65,110.0,411948.2189414508,3471976.403904359,3.86,223,34
31.314,104.002,73.256,49.562,1.93,4.0,110.0,405036.26351965417,3464831.740802576,3.86,223,34
31.248,103.93,66.34,42.327,1.93,2.8,100.0,398113.87215099717,3457580.6407114356,3.86,223,34
31.182,103.858,59.414,35.108,1.93,0.1,90.0,391181.9989261874,3450333.925117314,3.86,223,34
31.531,104.192,91.499,73.536,4.17,0.0,100.0,423292.9960105589,3488735.366120988,6.1,223,34
31.465,104.12,84.61,66.29,4.17,0.0,100.0,416398.7755035981,3481472.607566635,6.1,223,34
31.4,104.049,77.807,59.058,4.17,0.933,100.0,409591.03614160756,3474324.2979912227,6.1,223,34
31.334,103.977,70.9,51.832,4.17,0.0,95.0,402677.8756257947,3467070.3267803243,6.1,223,34
31.268,103.905,63.983,44.61,4.17,1.867,90.0,395755.2077440563,3459820.7550539784,6.1,223,34
31.202,103.833,57.057,37.392,4.17,0.1,90.0,388823.0537236887,3452575.5659673214,6.1,223,34
31.552,104.167,89.144,75.802,6.4,0.0,100.0,420937.2643337399,3491080.7780464203,8.33,223,34
31.486,104.095,82.255,68.569,6.4,0.0,90.0,414042.849509982,3483819.5538129485,8.33,223,34
31.42,104.023,75.357,61.339,6.4,0.0,95.0,407138.88046267873,3476562.7603927567,8.33,223,34
31.354,103.951,68.45,54.114,6.4,0.0,90.0,400225.37855250505,3469310.3811782487,8.33,223,34
31.288,103.879,61.533,46.883,6.4,0.467,90.0,393302.3650617907,3462062.39944535,8.33,223,34
31.223,103.807,54.606,39.667,6.4,0.1,90.0,386371.0576932263,3454929.638500555,8.33,223,34
31.572,104.141,86.696,78.081,8.64,0.0,100.0,418486.8342098898,3493316.6567327143,10.57,223,34
31.506,104.069,79.807,70.849,8.64,0.0,90.0,411592.08458921337,3486057.0290485267,10.57,223,34
31.44,103.997,72.908,63.61,8.64,0.0,100.0,404687.7765757689,3478801.8301736256,10.57,223,34
31.375,103.925,66.0,56.386,8.64,0.0,95.0,397775.01434878696,3471661.8840796566,10.57,223,34
31.309,103.854,59.178,49.166,8.64,0.467,100.0,390946.88951715466,3464414.503347486,10.57,223,34
31.243,103.782,52.251,41.952,8.64,0.1,100.0,384014.17160218616,3457172.4301385623,10.57,223,34
31.592,104.116,84.343,80.348,10.88,0.0,90.0,416132.3364587532,3495552.374993468,12.81,223,34
31.527,104.044,77.454,73.117,10.88,0.0,90.0,409238.28514653,3488405.1241345806,12.81,223,34
31.461,103.972,70.555,65.891,10.88,0.0,95.0,402333.7749818915,3481151.4589772406,12.81,223,34
31.395,103.9,63.647,58.669,10.88,0.0,90.0,395419.72324988164,3473902.2042740774,12.81,223,34
31.329,103.828,56.73,51.452,10.88,0.0,90.0,388496.15118724765,3466657.343311983,12.81,223,34
31.263,103.756,49.802,44.228,10.88,0.1,90.0,381563.0799524102,3459416.8592617004,12.81,223,34
31.613,104.09,81.897,82.628,13.11,0.0,100.0,413684.92196460575,3497900.2873275294,15.04,223,34
31.547,104.018,75.008,75.398,13.11,0.0,100.0,406789.6364261345,3490643.7927696914,15.04,223,34
31.481,103.946,68.109,68.163,13.11,0.0,95.0,399884.78383375076,3483391.7232750757,15.04,223,34
31.415,103.874,61.2,60.942,13.11,0.0,95.0,392970.38547918,3476144.0622516754,15.04,223,34
31.349,103.802,54.282,53.727,13.11,0.0,95.0,386046.4625758388,3468900.7929910123,15.04,223,34
31.284,103.731,47.45,46.514,13.11,0.1,95.0,379209.5050824875,3461771.64587017,15.04,223,34
31.633,104.064,79.452,84.897,15.35,0.1,100.0,411237.66896270274,3500137.9664417594,17.28,223,34
31.567,103.993,72.657,77.668,15.35,0.0,90.0,404436.94663179544,3492882.196373985,17.28,223,34
31.502,103.921,65.758,70.445,15.35,0.0,100.0,397532.9084994433,3485742.5044874363,17.28,223,34
31.436,103.849,58.849,63.226,15.35,0.0,90.0,390618.3001432081,3478496.3766226782,17.28,223,34
31.37,103.777,51.931,56.012,15.35,0.0,90.0,383694.16270244453,3471254.6387911155,17.28,223,34
31.304,103.705,45.003,48.791,15.35,0.0,100.0,376760.5172900128,3464017.274174449,17.28,223,34
31.654,104.039,77.103,87.177,17.59,0.1,100.0,408887.2652472734,3502486.2627011454,19.52,223,34
31.588,103.967,70.213,79.951,17.59,0.0,95.0,401991.43700554,3495232.9035373223,19.52,223,34
31.522,103.895,63.313,72.718,17.59,0.0,90.0,395086.03304492985,3487983.965723349,19.52,223,34
31.456,103.823,56.404,65.501,17.59,0.0,100.0,388171.0746115651,3480739.432678171,19.52,223,34
31.39,103.751,49.485,58.288,17.59,0.0,100.0,381246.58287327935,3473499.2877042596,19.52,223,34
31.324,103.679,42.557,51.08,17.59,0.0,90.0,374312.5789196018,3466263.51398794,19.52,223,34
