,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip
0,31.695,104.219,94.189,91.649,1.32,0.0,117.2,425986.18923497,3506894.5994267007,2.64,221,45,0.0,0.0
1,31.627,104.15,87.596,84.177,1.32,9.0,130.0,419388.29271918203,3499406.2431782107,2.64,221,45,5.785088487178854,6.894399988070803
2,31.559,104.081,80.994,76.69800000000001,1.32,1.8,121.0,412780.9340998672,3491921.97728658,2.64,221,45,0.9270685348380975,1.5429011412638023
3,31.491,104.012,74.383,69.234,1.32,6.3,119.5,406164.13592539716,3484441.7861183714,2.64,221,45,3.1022684286518416,5.483240884421368
4,31.423000000000002,103.943,67.763,61.775,1.32,0.0,123.2,399537.92067657603,3476965.6539229257,2.64,221,45,0.0,0.0
5,31.355,103.875,61.228,54.318000000000005,1.32,0.45,130.0,392997.4298173265,3469492.592458776,2.64,221,45,0.28925442435894266,0.34471999940354014
6,31.288,103.806,54.588,46.867,1.32,1.35,101.5,386353.7168450464,3462135.313357439,2.64,221,45,0.26914671146321606,1.32289835123812
7,31.22,103.73700000000001,47.94,39.419000000000004,1.32,4.05,113.5,379699.52090033685,3454671.204396878,2.64,221,45,1.6149337291472468,3.7140933012597523
8,31.151999999999997,103.66799999999999,41.282,31.964000000000002,1.32,6.75,130.0,373035.9968031974,3447211.090477905,2.64,221,45,4.33881636538414,5.170799991053102
9,31.084,103.6,34.71,24.524,1.32,8.1,85.0,366458.5623786425,3439753.751138932,2.64,221,45,-0.7059615162560308,8.069177054543138
10,31.016,103.531,28.034000000000002,17.088,1.32,9.01,110.5,359776.51761199406,3432301.520418922,2.64,221,45,3.155368505147801,8.439416425128062
11,30.948,103.462,21.349,9.656,1.32,4.95,85.0,353085.21086642216,3424853.2355549033,2.64,221,45,-0.43142092660090775,4.931163755554141
12,30.88,103.39299999999999,14.654000000000002,2.228,1.32,0.45,124.8,346384.66408363765,3417408.879872505,2.64,221,45,0.25682110545799425,0.3695171441101669
13,30.811999999999998,103.324,7.95,-5.207000000000001,1.32,0.0,129.2,339674.8991377223,3409968.436583037,2.64,221,45,0.0,0.0
14,31.712,104.196,92.025,93.514,4.15,2.8,85.3,423820.3580937604,3508794.75835314,5.4700000000000015,221,45,-0.22942782416411475,2.7905846830905023
15,31.644000000000002,104.12700000000001,85.432,86.044,4.15,10.4,104.2,417222.01956453174,3501307.756454726,5.4700000000000015,221,45,2.5511968131395473,10.082231638909445
16,31.576,104.059,78.92399999999999,78.565,4.15,10.4,146.1,410709.1090722083,3493824.026430213,5.4700000000000015,221,45,8.632127764991822,5.800549133388779
17,31.508000000000003,103.99,72.312,71.10300000000001,4.15,14.8,140.7,404091.9323741394,3486345.1269914643,5.4700000000000015,221,45,11.45283510395229,9.374036914887744
18,31.44,103.921,65.691,63.645,4.15,8.4,135.3,397465.3353883175,3478870.2847654917,5.4700000000000015,221,45,5.970715580533137,5.908515503608233
19,31.372,103.852,59.06100000000001,56.19,4.15,0.8,119.1,390829.3405087817,3471399.4838865018,5.4700000000000015,221,45,0.3890683043387923,0.6990177784283723
20,31.304000000000002,103.78299999999999,52.42100000000001,48.74,4.15,4.0,159.6,384183.9700619816,3463932.708372141,5.4700000000000015,221,45,3.749127957967566,1.3942881892872614
21,31.236,103.715,45.867,41.282,4.15,14.8,144.8,377624.4876135883,3456468.833839668,5.4700000000000015,221,45,12.093744495359905,8.531198279312937
22,31.168000000000003,103.646,39.209,33.839,4.15,15.6,101.5,370960.50217891455,3449010.0025695413,5.4700000000000015,221,45,3.1101397769082744,15.28682539208494
23,31.101,103.57700000000001,32.542,26.401,4.15,0.1,85.3,364288.6299742197,3441665.9910777686,5.4700000000000015,221,45,-0.0081938508630041,0.09966373868180367
24,31.033,103.508,25.865,18.967,4.15,0.0,151.5,357606.1145641653,3434215.097608485,5.4700000000000015,221,45,0.0,0.0
25,30.965,103.44,19.275,11.535,4.15,0.4,92.1,351009.8515879741,3426766.8092496283,5.4700000000000015,221,45,0.014657483482622462,0.3997313575114625
26,30.897,103.37100000000001,12.58,4.1080000000000005,4.15,2.8,92.1,344308.89677537663,3419323.7295471686,5.4700000000000015,221,45,0.10260238437835721,2.7981195025802372
27,30.829,103.302,5.875,-3.325,4.15,0.0,138.0,337598.7204144157,3411884.5604934013,5.4700000000000015,221,45,0.0,0.0
28,31.729,104.17399999999999,89.955,95.37899999999999,6.98,4.0,84.0,421750.0601202246,3510694.6730317674,8.3,221,45,-0.4181138530706138,3.978087581473093
29,31.660999999999998,104.105,83.36200000000001,87.91,6.98,6.4,85.3,415151.3480752797,3503208.9667170336,8.3,221,45,-0.5244064552322624,6.378479275635435
30,31.593000000000004,104.036,76.759,80.434,6.98,2.0,147.4,408543.1676381753,3495727.3470939007,8.3,221,45,1.6849047940142954,1.0775415700137256
31,31.525,103.96700000000001,70.14699999999999,72.973,6.98,8.8,152.9,401925.5413179637,3488249.7985317307,8.3,221,45,7.8338726805779135,4.008795183654937
32,31.456999999999997,103.899,63.62,65.515,6.98,6.8,139.4,395393.50736783096,3480775.3519058004,8.3,221,45,5.16304488987719,4.425264677407786
33,31.389,103.83,56.99,58.062,6.98,0.4,161.0,388757.1262058547,3473305.8395922687,8.3,221,45,0.37820743023972675,0.13022726178286265
34,31.320999999999998,103.76100000000001,50.35,50.613,6.98,5.6,152.9,382111.36622361845,3465840.3508925214,8.3,221,45,4.9851917058223085,2.5510514805076867
