,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip
0,31.511,104.21799999999999,93.949,71.259,1.93,0.0,100.0,425745.54286726186,3486500.677313087,3.86,223,34,0.0,0.0
1,31.445,104.146,87.061,64.02199999999999,1.93,3.7,110.0,418851.6536885893,3479236.323304506,3.86,223,34,1.2654745303049744,3.4768626969078613
2,31.379,104.074,80.163,56.79,1.93,2.65,110.0,411948.21894145076,3471976.403904359,3.86,223,34,0.9063533798130221,2.4901854450826573
3,31.314,104.00200000000001,73.256,49.562,1.93,4.0,110.0,405036.26351965417,3464831.7408025763,3.86,223,34,1.3680805733026749,3.7587704831436337
4,31.248,103.93,66.34,42.327,1.93,2.8,100.0,398113.87215099717,3457580.640711436,3.86,223,34,0.4862148974674048,2.757461708434182
5,31.182,103.85799999999999,59.413999999999994,35.108000000000004,1.93,0.1,90.0,391181.9989261874,3450333.925117314,3.86,223,34,-6.123233995736766e-18,0.1
6,31.531,104.19200000000001,91.499,73.536,4.17,0.0,100.0,423292.9960105589,3488735.366120988,6.1,223,34,0.0,0.0
7,31.465,104.12,84.61,66.29,4.17,0.0,100.0,416398.77550359815,3481472.607566635,6.1,223,34,0.0,0.0
8,31.4,104.04899999999999,77.807,59.058,4.17,0.9329999999999999,100.0,409591.03614160756,3474324.2979912227,6.1,223,34,0.16201374976324595,0.91882563356039
9,31.334,103.977,70.9,51.832,4.17,0.0,95.0,402677.8756257947,3467070.3267803243,6.1,223,34,0.0,0.0
10,31.268,103.905,63.983000000000004,44.61,4.17,1.867,90.0,395755.2077440563,3459820.755053978,6.1,223,34,-1.1432077870040543e-16,1.867
11,31.201999999999998,103.833,57.056999999999995,37.391999999999996,4.17,0.1,90.0,388823.05372368864,3452575.5659673214,6.1,223,34,-6.123233995736766e-18,0.1
12,31.552,104.167,89.14399999999999,75.80199999999999,6.4,0.0,100.0,420937.26433373993,3491080.778046421,8.33,223,34,0.0,0.0
13,31.486,104.095,82.255,68.569,6.4,0.0,90.0,414042.84950998204,3483819.553812948,8.33,223,34,-0.0,0.0
14,31.42,104.023,75.357,61.339,6.4,0.0,95.0,407138.8804626787,3476562.7603927567,8.33,223,34,0.0,0.0
15,31.354,103.95100000000001,68.45,54.114,6.4,0.0,90.0,400225.3785525051,3469310.3811782487,8.33,223,34,-0.0,0.0
16,31.288,103.87899999999999,61.533,46.883,6.4,0.467,90.0,393302.3650617907,3462062.39944535,8.33,223,34,-2.85955027600907e-17,0.467
17,31.223000000000003,103.807,54.606,39.667,6.4,0.1,90.0,386371.0576932263,3454929.638500555,8.33,223,34,-6.123233995736766e-18,0.1
18,31.572,104.141,86.696,78.081,8.64,0.0,100.0,418486.83420988976,3493316.6567327143,10.57,223,34,0.0,0.0
19,31.506,104.069,79.807,70.84899999999999,8.64,0.0,90.0,411592.08458921337,3486057.0290485267,10.57,223,34,-0.0,0.0
20,31.44,103.99700000000001,72.908,63.61,8.64,0.0,100.0,404687.7765757689,3478801.8301736256,10.57,223,34,0.0,0.0
21,31.375,103.925,66.0,56.386,8.64,0.0,95.0,397775.01434878696,3471661.884079657,10.57,223,34,0.0,0.0
22,31.309,103.854,59.178000000000004,49.166000000000004,8.64,0.467,100.0,390946.88951715466,3464414.5033474863,10.57,223,34,0.08109369897045646,0.4599052206567012
23,31.243000000000002,103.78200000000001,52.251000000000005,41.952,8.64,0.1,100.0,384014.17160218616,3457172.4301385623,10.57,223,34,0.01736481776669303,0.0984807753012208
24,31.592,104.116,84.34299999999999,80.348,10.88,0.0,90.0,416132.3364587532,3495552.374993468,12.81,223,34,-0.0,0.0
25,31.526999999999997,104.044,77.454,73.117,10.88,0.0,90.0,409238.28514653,3488405.1241345806,12.81,223,34,-0.0,0.0
26,31.461,103.97200000000001,70.555,65.891,10.88,0.0,95.0,402333.7749818915,3481151.4589772406,12.81,223,34,0.0,0.0
27,31.395,103.9,63.647,58.669,10.88,0.0,90.0,395419.7232498816,3473902.2042740774,12.81,223,34,-0.0,0.0
28,31.329,103.82799999999999,56.73,51.452,10.88,0.0,90.0,388496.1511872477,3466657.343311983,12.81,223,34,-0.0,0.0
