lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip
31.695,104.219,94.189,91.649,1.32,0.0,117.2,425986.18923497,3506894.5994267007,2.64,221,45
31.627,104.15,87.596,84.177,1.32,9.0,130.0,419388.292719182,3499406.2431782107,2.64,221,45
31.559,104.081,80.994,76.698,1.32,1.8,121.0,412780.93409986724,3491921.9772865796,2.64,221,45
31.491,104.012,74.383,69.234,1.32,6.3,119.5,406164.13592539716,3484441.786118371,2.64,221,45
31.423,103.943,67.763,61.775,1.32,0.0,123.2,399537.920676576,3476965.6539229257,2.64,221,45
31.355,103.875,61.228,54.318,1.32,0.45,130.0,392997.4298173265,3469492.5924587757,2.64,221,45
31.288,103.806,54.588,46.867,1.32,1.35,101.5,386353.71684504644,3462135.313357439,2.64,221,45
31.22,103.737,47.94,39.419,1.32,4.05,113.5,379699.52090033685,3454671.204396878,2.64,221,45
31.152,103.668,41.282,31.964,1.32,6.75,130.0,373035.9968031974,3447211.0904779052,2.64,221,45
31.084,103.6,34.71,24.524,1.32,8.1,85.0,366458.5623786425,3439753.7511389316,2.64,221,45
31.016,103.531,28.034,17.088,1.32,9.01,110.5,359776.51761199406,3432301.520418922,2.64,221,45
30.948,103.462,21.349,9.656,1.32,4.95,85.0,353085.21086642216,3424853.235554903,2.64,221,45
30.88,103.393,14.654,2.228,1.32,0.45,124.8,346384.66408363765,3417408.8798725046,2.64,221,45
30.812,103.324,7.95,-5.207,1.32,0.0,129.2,339674.89913772227,3409968.4365830366,2.64,221,45
31.712,104.196,92.025,93.514,4.15,2.8,85.3,423820.3580937604,3508794.75835314,5.470000000000001,221,45
31.644,104.127,85.432,86.044,4.15,10.4,104.2,417222.0195645317,3501307.756454726,5.470000000000001,221,45
31.576,104.059,78.924,78.565,4.15,10.4,146.1,410709.1090722083,3493824.026430213,5.470000000000001,221,45
31.508,103.99,72.312,71.103,4.15,14.8,140.7,404091.93237413943,3486345.1269914643,5.470000000000001,221,45
31.44,103.921,65.691,63.645,4.15,8.4,135.3,397465.33538831753,3478870.284765492,5.470000000000001,221,45
31.372,103.852,59.061,56.19,4.15,0.8,119.1,390829.34050878184,3471399.483886502,5.470000000000001,221,45
31.304,103.783,52.421,48.74,4.15,4.0,159.6,384183.9700619816,3463932.7083721403,5.470000000000001,221,45
31.236,103.715,45.867,41.282,4.15,14.8,144.8,377624.4876135883,3456468.833839668,5.470000000000001,221,45
