,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
0,31.695,104.219,94.189,91.649,1.32,0.0,117.2,425986.18923497,3506894.5994267007,2.64,221.0,45.0,0.0,0.0,beichuan,30.884923880369005,42.25682034412857,34.687416044510556,0.38046325290258703,4.623573487559067,-6.658385565677133,1264.4931850936018,576.3627809755722,0.7890000000000001,42.902847424163014,0.3576822048650721,-5.352425664521146,-20.377344833908523
1,31.627,104.15,87.596,84.177,1.32,9.0,130.0,419388.29271918203,3499406.2431782107,2.64,221.0,45.0,5.785088487178854,6.894399988070803,beichuan,33.353227187878744,44.911235188351014,44.274225369718444,-2.082794955789198,6.962586287995035,-4.920532155613559,1256.715129673571,567.5349902143325,0.7890000000000001,50.8152401173629,-1.9418753751614979,-3.6474952996774253,-26.356941034042645
2,31.559,104.081,80.994,76.69800000000002,1.32,1.8,121.0,412780.9340998672,3491921.97728658,2.64,221.0,45.0,0.9270685348380976,1.5429011412638023,beichuan,40.86879130333282,41.162151301571086,40.03522576204328,-0.5920082048439519,11.682977722400459,-4.448424061981736,1248.9259196733738,558.7120214478405,0.7890000000000001,52.54394897119608,0.7730392258862144,2.884861760090857,-28.53972962881473
3,31.491,104.012,74.383,69.234,1.32,6.3,119.5,406164.13592539716,3484441.786118372,2.64,221.0,45.0,3.1022684286518416,5.483240884421368,beichuan,44.60630110416061,52.95114790298553,56.06276586543202,-4.797111945390248,3.8143734940642116,-10.219381942621585,1241.1255816745834,549.8938562463213,0.7890000000000001,64.08887603652212,-1.5571518415873964,-7.07789697288262,-31.206164286845592
4,31.423,103.943,67.763,61.775,1.32,0.0,123.2,399537.92067657603,3476965.6539229257,2.64,221.0,45.0,0.0,0.0,beichuan,47.89123981463948,45.28072329607,55.935511094371144,-1.5762104175914284,17.41044136756131,-4.454675577403902,1233.3141421791242,541.0804760418109,0.7890000000000001,68.19436719747617,-3.8035009266796944,6.458345931550925,-33.42149847352322
5,31.355,103.875,61.228,54.31800000000001,1.32,0.45,130.0,392997.4298173265,3469492.592458776,2.64,221.0,45.0,0.28925442435894266,0.3447199994035401,beichuan,46.771340359605325,58.17786355454362,64.59489071601512,-1.6327993466475723,10.745571717420916,-17.602060043423293,1225.6037605058568,532.2707158271182,0.7890000000000001,78.6041069037446,-5.648560152699845,-8.562860601620002,-36.90435449760732
6,31.288,103.806,54.588,46.867,1.32,1.35,101.5,386353.7168450464,3462135.313357439,2.64,221.0,45.0,0.2691467114632161,1.32289835123812,beichuan,42.19868505317882,55.22298265725665,48.84548946960952,-1.0089979820483095,4.115547443784873,-16.278637516866702,1217.7716934872979,523.5974478463459,0.7890000000000001,62.61038313888041,-0.02089653701889116,-11.437310780455508,-26.128900013381184
7,31.22,103.737,47.94,39.419,1.32,4.05,113.5,379699.52090033685,3454671.204396878,2.64,221.0,45.0,1.6149337291472468,3.714093301259752,beichuan,39.18817792984299,48.950279044274325,43.310993724984236,-1.940124689556816,9.575217536881574,-9.901076815506551,1209.9272684179068,514.7982414602702,0.7890000000000001,58.033276649092066,1.0000836747645687,-4.450594629443389,-30.258391709432942
8,31.152,103.668,41.282,31.964,1.32,6.75,130.0,373035.9968031974,3447211.090477905,2.64,221.0,45.0,4.33881636538414,5.1707999910531015,beichuan,35.91129823682989,40.285887628510515,33.865466923284735,1.056969239472611,2.2426323397954366,-6.262466575145969,1202.0718466791395,506.00374470472593,0.7890000000000001,41.10756604360157,1.4410152681800437,-3.7292463265240183,-20.666564742920567
9,31.084,103.6,34.71,24.524,1.32,8.1,85.0,366458.5623786425,3439753.751138932,2.64,221.0,45.0,-0.7059615162560308,8.069177054543138,beichuan,31.64958015784001,36.47894605456868,32.524493330871394,-0.6969560588761387,4.58027659212598,-5.795850515838524,1194.317913383371,497.2125188154282,0.7890000000000001,40.73063411261148,0.9469420959973549,-2.7276170691490655,-21.551064376612317
10,31.016,103.531,28.034,17.088,1.32,9.01,110.5,359776.51761199406,3432301.520418922,2.64,221.0,45.0,3.155368505147801,8.439416425128062,beichuan,30.696366552216855,37.378989414070915,29.298842348787858,0.7685760384409543,3.182955009582873,0.5558449280131873,1186.4406582021556,488.4273153184665,0.7890000000000001,33.092741230182796,1.756359325986315,-0.49081769574664236,-18.03199452701185
11,30.948,103.462,21.349,9.656,1.32,4.95,85.0,353085.21086642216,3424853.2355549037,2.64,221.0,45.0,-0.43142092660090775,4.931163755554142,beichuan,34.85183408215533,35.5815056260464,34.61087197381511,1.8725228091824282,0.5152291056635466,-0.49708290499241625,1178.5524843614558,479.6467634686642,0.7890000000000001,34.67619754816576,-0.6496384956803434,-0.09744845953972359,-20.148811855667645
12,30.88,103.393,14.654000000000002,2.228,1.32,0.45,124.8,346384.66408363765,3417408.879872505,2.64,221.0,45.0,0.25682110545799425,0.3695171441101669,beichuan,36.45619413912472,34.70962629072057,42.634474733703335,2.360703747581975,-0.060835678621349865,2.766006337694011,1170.6534177276744,470.87084360912104,0.7890000000000001,36.140019818129375,-4.633878214009949,2.291698664248088,-16.514417122426956
