,lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip,strike_slip,dip_slip,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
334,31.511,104.218,93.949,71.259,1.93,0.0,100.0,425745.54286726186,3486500.677313087,3.86,223.0,34.0,0.0,0.0,pengguan,19.83118196057541,30.20367848340665,23.74385049434221,1.8953072829913353,5.272645607270554,-3.955536002820064,1264.20949455978,552.3210191728672,2.009,29.514369091228854,2.00130769052621,-2.2362714501637564,-14.707597884190612
335,31.445,104.146,87.061,64.02199999999999,1.93,3.7,110.0,418851.6536885893,3479236.323304506,3.86,223.0,34.0,1.2654745303049744,3.4768626969078613,pengguan,22.191948733465928,30.38696054525278,25.99315019128596,2.386334075142377,6.849553810550469,-3.708305263219384,1256.0825025763575,543.7572976997797,2.009,32.24162497474144,1.72524018477466,-0.5682955202154913,-17.528546210172347
336,31.379,104.074,80.163,56.79,1.93,2.65,110.0,411948.21894145076,3471976.403904359,3.86,223.0,34.0,0.906353379813022,2.4901854450826573,pengguan,22.687454383978853,32.852851811049796,29.489228511806864,2.2416552681554656,5.593486918631999,-5.575215728684212,1247.9442576185406,535.1988040489355,2.009,35.45992145132723,0.958810960250295,-2.965637538296054,-18.159171764262425
337,31.314,104.002,73.256,49.562,1.93,4.0,110.0,405036.26351965417,3464831.7408025763,3.86,223.0,34.0,1.3680805733026749,3.7587704831436337,pengguan,25.80970668841735,33.21553928506997,28.113665091344174,1.8410814857460158,4.973427428471437,-4.501095247559678,1239.7959679018304,526.7761824709621,2.009,34.11473742603168,2.189881475761611,-1.910900442514441,-17.562449264895196
338,31.248,103.93,66.34,42.327,1.93,2.8,100.0,398113.87215099717,3457580.640711436,3.86,223.0,34.0,0.4862148974674048,2.7574617084341817,pengguan,25.447575388391694,33.67963830675139,32.20287736337031,1.4439746630176478,5.975146465650933,-4.67105579636996,1231.635375571272,518.2280856297766,2.009,37.84280688891879,0.8059415014854885,-1.6935150684711484,-20.830174871589143
339,31.182,103.858,59.414,35.108000000000004,1.93,0.1,90.0,391181.9989261874,3450333.925117314,3.86,223.0,34.0,-6.1232339957367656e-18,0.1,pengguan,24.721667876543997,33.19841476497958,31.707904776921815,1.7982423080055834,1.7580653097970247,-6.2749609306306855,1223.4636053747895,509.68515753604174,2.009,35.35531056228445,-0.157779182448488,-5.10476866765084,-16.105979916963925
340,31.531,104.192,91.499,73.536,4.17,0.0,100.0,423292.9960105589,3488735.366120988,6.1,223.0,34.0,0.0,0.0,pengguan,24.166533413687013,32.37422574645789,31.152644536820006,1.4630427294544934,7.4893211603279966,-5.03274433023858,1261.3182631914174,554.9554244492738,4.249,37.96637852164275,1.1921099226697738,-1.0491550239261407,-21.19179300379366
341,31.465,104.12,84.61,66.29,4.17,0.0,100.0,416398.77550359815,3481472.607566635,6.1,223.0,34.0,0.0,0.0,pengguan,26.32998691751265,33.596040773978615,32.79977692496698,1.5392821002902255,8.152901549079907,-5.079159297953088,1253.1908806153597,546.3935838076566,4.249,40.09355063847839,1.3868311822597903,-0.4364961415096582,-22.602228870039845
342,31.4,104.049,77.807,59.058,4.17,0.933,100.0,409591.03614160756,3474324.2979912227,6.1,223.0,34.0,0.16201374976324595,0.91882563356039,pengguan,28.005220352960695,35.359554788764186,36.310005759276656,1.0323650382225842,7.733478276575005,-7.414511849989343,1245.165447976945,537.9666635150986,4.249,44.39326854580612,1.2713370192188371,-2.1340055515560277,-24.15195679767501
343,31.334,103.977,70.9,51.832,4.17,0.0,95.0,402677.8756257947,3467070.3267803243,6.1,223.0,34.0,0.0,0.0,pengguan,29.871234260645434,36.15962099624766,35.633894843077464,0.29039970784394387,9.280367148909493,-7.2831771660905265,1237.015737612302,529.4151819999427,4.249,45.554379454751164,2.953377523940409,-0.9113931606511335,-24.241822552465713
344,31.268,103.905,63.983,44.61,4.17,1.867,90.0,395755.2077440563,3459820.755053978,6.1,223.0,34.0,-1.1432077870040543e-16,1.867,pengguan,28.43761799370955,36.92673796392027,38.736393395107775,-0.14490861278820572,7.629680777918229,-7.806149967014047,1228.8548193090546,520.868886900576,4.249,46.905683049754174,1.2076932274450414,-2.792582218918063,-25.100871682017058
345,31.202,103.833,57.057,37.392,4.17,0.1,90.0,388823.05372368864,3452575.5659673214,6.1,223.0,34.0,-6.1232339957367656e-18,0.1,pengguan,28.37914224142845,35.832185584801664,35.61116938804719,0.6882988479313895,4.066385842252564,-8.615430453147384,1220.6827180914038,512.3277583591132,4.249,42.424296189436525,1.251200091045657,-4.976481056817095,-20.323216746365613
346,31.552,104.167,89.14399999999998,75.80199999999998,6.4,0.0,100.0,420937.26433373993,3491080.7780464212,8.33,223.0,34.0,0.0,0.0,pengguan,27.818036335864004,34.20909701299697,36.12850185506681,1.0819208483045883,9.420653338646302,-5.366356977183003,1258.5411642337158,557.7203577723662,6.479,43.90337621228507,0.9770489082636438,0.33236858797311,-25.30999208091836
347,31.486,104.095,82.255,68.569,6.4,0.0,90.0,414042.8495099821,3483819.553812948,8.33,223.0,34.0,-0.0,0.0,pengguan,30.058320258148182,35.56914356051849,38.85915909830978,0.7013875319536682,10.478362872006942,-6.432754443641053,1250.4135525836168,549.1603258940131,6.479,47.862929111187796,1.2981205359592831,0.5144903097729996,-27.321398915075765
348,31.42,104.023,75.357,61.339,6.4,0.0,95.0,407138.8804626787,3476562.7603927567,8.33,223.0,34.0,0.0,0.0,pengguan,31.57813711491678,37.05995606582617,42.39134211302209,0.24716354368063118,10.564355144215437,-8.556803279617984,1242.2746777559191,540.6055173639159,6.479,52.30474958203044,1.1352249344960814,-0.7343704157835917,-30.030801096439895
349,31.354,103.951,68.45,54.114,6.4,0.0,90.0,400225.3785525051,3469310.3811782487,8.33,223.0,34.0,-0.0,0.0,pengguan,32.25273481025387,37.95325450845614,43.999531002699456,-0.13724925483779774,12.143483984000813,-9.617530596603004,1234.1245649320604,532.0559126038929,6.479,55.51427194967735,1.6309834335385833,-0.5606611737069436,-31.583904388429715
350,31.288,103.879,61.533,46.883,6.4,0.467,90.0,393302.3650617907,3462062.39944535,8.33,223.0,34.0,-2.8595502760090696e-17,0.467,pengguan,31.18458567001506,39.164970195999054,45.02898215907916,-0.47939433586347036,9.644909942678135,-11.149054340761317,1225.963239201118,523.511491898452,6.479,55.60028466776193,1.0151231207057894,-3.551189112678001,-29.666741626543455
351,31.223000000000006,103.807,54.606,39.667,6.4,0.1,90.0,386371.0576932263,3454929.638500555,8.33,223.0,34.0,-6.1232339957367656e-18,0.1,pengguan,31.554800065067116,38.65521175203466,40.6005778665064,0.22593558723231835,6.700737224387422,-11.275204205651434,1217.7921360750001,515.102901403938,6.479,50.40771823759961,1.9494037766511738,-5.019367201248844,-24.8600026187667
352,31.572,104.141,86.696,78.081,8.64,0.0,100.0,418486.83420988976,3493316.6567327143,10.57,223.0,34.0,0.0,0.0,pengguan,30.3429256792062,35.45503160830096,41.29197318282266,1.1438247309052976,11.215196164095438,-5.920285857104771,1255.6524282160153,560.3561657594782,8.719000000000001,49.603596395075456,0.08258768482749268,1.3702840152117943,-28.389387277909435
353,31.506,104.069,79.807,70.84899999999998,8.64,0.0,90.0,411592.08458921337,3486057.0290485267,10.57,223.0,34.0,-0.0,0.0,pengguan,32.30109910082502,36.54950471362096,45.14466791545524,0.7230726532568352,12.729089443649872,-7.2317436063278375,1247.52442188422,551.7980160035249,8.719000000000001,54.72536395428928,-0.03753796440293833,1.6555669177607228,-31.179225945672023
354,31.44,103.997,72.908,63.61,8.64,0.0,100.0,404687.7765757689,3478801.8301736256,10.57,223.0,34.0,0.0,0.0,pengguan,33.21945463357149,38.10436234146643,49.09641103033666,0.36253835279942254,12.977210621126726,-9.438547724629865,1239.3851474598596,543.2450872333798,8.719000000000001,59.497310819814444,-0.5080370287297118,0.26623269281548123,-35.12481742953933
355,31.375,103.925,66.0,56.386,8.64,0.0,95.0,397775.01434878696,3471661.884079657,10.57,223.0,34.0,0.0,0.0,pengguan,33.22301300088483,38.711368750686056,51.94764882804512,0.36339960627610324,13.222587506524127,-10.53305863472907,1231.2359066255572,534.828026389514,8.719000000000001,62.404077308705865,-1.3516242977345936,-0.4269315222965486,-36.024998408415556
356,31.309,103.854,59.178,49.166,8.64,0.467,100.0,390946.88951715466,3464414.5033474863,10.57,223.0,34.0,0.08109369897045646,0.4599052206567012,pengguan,32.885780504215,39.61583377636474,52.0376099626648,0.15055913098731155,10.588752362130318,-12.624980094509795,1223.1864421896971,526.2843141851779,8.719000000000001,62.14424309037589,-1.370639157627826,-3.539111925002319,-33.49129027414712
357,31.243,103.782,52.25100000000001,41.952,8.64,0.1,100.0,384014.17160218616,3457172.4301385623,10.57,223.0,34.0,0.01736481776669303,0.0984807753012208,pengguan,33.51455180711689,39.76791164675425,46.97517603165128,0.6641419311273128,8.286126362303682,-13.08838260512881,1215.0136762142029,517.7468588552649,8.719000000000001,57.36351233750159,0.4149972751141142,-4.969001334802567,-29.43180646857991
358,31.592,104.116,84.34299999999998,80.348,10.88,0.0,90.0,416132.3364587532,3495552.374993468,12.81,223.0,34.0,-0.0,0.0,pengguan,31.966650929257142,36.13328966122448,45.93000271005786,1.416269996552233,12.320481333346128,-5.751347129653933,1252.876783895002,562.9917846259013,10.959,53.71923381473412,-1.385028928928346,2.371978324450272,-29.484799255246237
359,31.527,104.044,77.454,73.117,10.88,0.0,90.0,409238.28514653,3488405.1241345806,12.81,223.0,34.0,-0.0,0.0,pengguan,33.32836239897553,37.0839166137899,50.795558710086816,1.171069926021732,13.795631787668842,-7.0024125427404185,1244.7496007773689,554.5661124213943,10.959,59.297241283160545,-2.2608574951926688,2.5525793204938347,-32.16848585771511
