lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip
31.296,103.281,4.665,48.453,21.14,0.0,97.7,336391.5454773493,3463682.073309648,40.19,221,5
31.228,103.212,-2.019,41.036,21.14,0.0,121.9,329701.27775493707,3456248.404089945,40.19,221,5
31.16,103.142,-8.808,33.624,21.14,0.0,118.6,322906.37883555447,3448820.252404711,40.19,221,5
31.092,103.073,-15.51,26.215,21.14,0.0,106.5,316197.45995757077,3441394.4595863568,40.19,221,5
31.024,103.004,-22.223,18.798,21.14,0.0,110.9,309479.28292707156,3433972.5509677297,40.19,221,5
31.523,103.456,21.662,73.385,21.49,0.0,99.9,353402.88912908186,3488598.71840781,40.54,221,5
31.455,103.387,15.005,65.958,21.49,0.0,135.1,346739.9442624644,3481155.0712124165,40.54,221,5
31.387,103.318,8.339,58.534,21.49,2.5,141.7,340067.62818509736,3473715.3886139267,40.54,221,5
31.32,103.249,1.663,51.104,21.49,0.0,120.8,333387.7242979063,3466390.5088656535,40.54,221,5
31.252,103.18,-5.022,43.689,21.49,0.0,126.3,326696.7971465656,3458958.7072027405,40.54,221,5
31.184,103.111,-11.716,36.277,21.49,0.0,94.4,319996.5638269245,3451530.8208727557,40.54,221,5
31.116,103.042,-18.42,28.869,21.49,0.0,128.5,313287.0459734084,3444106.8331945334,40.54,221,5
31.048,102.972,-25.228,21.467,21.49,0.0,135.1,306472.81877356174,3436688.4700833084,40.54,221,5
31.547,103.425,18.758,76.03,21.84,0.0,131.8,350497.47822826635,3491301.103116771,40.89,221,5
31.479,103.356,12.1,68.604,21.84,0.0,143.9,343833.95548634476,3483859.2735437085,40.89,221,5
31.411,103.286,5.338,61.184,21.84,0.0,145.0,337065.9831257763,3476422.8885196117,40.89,221,5
31.343,103.217,-1.338,53.767,21.84,2.0,104.3,330383.6602003928,3468989.024982078,40.89,221,5
31.275,103.148,-8.024,46.353,21.84,0.0,102.1,323692.0049871885,3461559.090763815,40.89,221,5
31.207,103.079,-14.719,38.932,21.84,0.0,132.9,316991.0391601585,3454133.0692990273,40.89,221,5
31.139,103.01,-21.423,31.526,21.84,0.5,139.5,310280.78432579484,3446710.943907369,40.89,221,5
31.071,102.941,-28.136,24.125,21.84,0.0,110.9,303561.26202308066,3439292.697794265,40.89,221,5
31.57,103.393,15.761,78.688,22.19,0.0,132.9,347497.043827008,3493894.905949746,41.24,221,5
31.502,103.324,9.102,71.253,22.19,0.0,123.0,340832.80356440716,3486454.952259836,41.24,221,5
31.434,103.255,2.435,63.833,22.19,0.0,112.0,334159.1830441181,3479018.958251118,41.24,221,5
31.367,103.186,-4.242,56.418,22.19,0.0,108.7,327478.0315349759,3471697.76466713,41.24,221,5
31.299,103.116,-11.024,49.008,22.19,0.0,94.4,320690.5909232594,3464271.268082557,41.24,221,5
31.231,103.047,-17.719,41.6,22.19,0.0,90.0,313988.95548955526,3456847.1132542724,41.24,221,5
31.163,102.978,-24.425,34.185,22.19,0.0,124.1,307278.0263064549,3449426.8520270586,41.24,221,5
31.095,102.909,-31.139,26.785,22.19,0.0,90.0,300557.82488507754,3442010.467608144,41.24,221,5
