,index,depth,utm_lat,utm_lon,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs
35,35,-16.0,3479432.0437873686,425842.11209273647,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,-12.0,3482118.1383530037,423239.6987968324,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,-8.0,3484804.9292160044,420638.6428922458,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,-4.0,3487492.417192942,418038.9455409874,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,0.0,3490180.6030980567,415440.6079067514,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,-28.0,3468546.345028124,430814.4148608085,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,-24.0,3471231.0582866706,428207.90992556064,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,-20.0,3473916.4657141813,425602.7581333772,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,-16.0,3476602.568134795,422998.9606426297,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,-12.0,3479289.366370333,420396.5186133747,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,-8.0,3481976.8612402743,417795.43320733705,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,-4.0,3484665.0535617718,415195.7055879359,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,0.0,3487353.944149638,412597.33692025533,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,-28.0,3465715.4643984195,427969.80371273775,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,-24.0,3468400.880035752,425363.2714647342,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,-20.0,3471086.9901790237,422758.09158749296,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,-16.0,3473773.795652953,420154.2652407799,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,-12.0,3476461.297279934,417551.7935860461,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,-8.0,3479149.4958800306,414950.67778642295,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,-4.0,3481838.3922709688,412350.9190067193,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,0.0,3484527.9872681405,409752.51841342787,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,-28.0,3462885.336103138,425123.703494445,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,-24.0,3465571.4538238617,422517.1430402173,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,-20.0,3468258.2663891623,419911.93418444134,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,-16.0,3470945.7746243337,417308.0780882854,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,-12.0,3473633.9793523513,414705.5759145949,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,-8.0,3476322.881393853,412104.4288279008,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,-4.0,3479012.4815671425,409504.6379944111,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,0.0,3481702.780688193,406906.204582017,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
