,index,lon_c1,lat_c1,lon_c2,lat_c2,bottom,top,dip,azimuth,dip_m,strike_m,e_trace,n_trace,depth,easting,northing,lon,lat,utm_lon,utm_lat,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs,strike
0,0,230.58900000000003,177.4075,227.3529,175.0563,-4.0,-0.0,67.0,36.001,1.2701,-0.6808,228.97095,176.2319,2.0,228.28414402930335,176.73091206097664,105.41959731570623,32.59334977307334,539376.0024949762,3606284.796270514,s1,13.674510425598925,29.843298168046196,19.925526960652952,0.44206669190267345,-1.0704131296173447,2.4951992203295252,1398.1649166057314,693.5307992082107,0.14900000000000002,17.328204419053023,1.2301499583631728,-6.408947749648236,-3.8709836249175362,216.001
1,1,230.58900000000003,177.4075,227.3529,175.0563,-8.0,-4.0,67.0,36.001,1.8176,-0.9562,228.97095,176.2319,6.0,226.91053208791007,177.7289361829299,105.40499502445104,32.602329209157624,538001.8885377728,3607274.892099884,s1,16.276334829281147,31.21353102422043,22.8669351195243,0.277232426946138,1.3873098056687823,0.4218028044280198,1396.5450163106916,694.697992451323,4.149,22.061110905854108,-1.2164596383153397,-6.007664444260851,-7.107082044830166,216.001
2,2,230.58900000000003,177.4075,227.3529,175.0563,-12.0,-8.0,67.0,36.001,1.1725,-0.8234,228.97095,176.2319,10.0,225.5369201465168,178.7269603048832,105.39039273319582,32.611308645241905,536628.0480858762,3608265.175996606,s1,18.721368178577276,31.91135781629309,25.098243980956155,0.00972943453976876,2.6645459885386114,-1.0118676847954677,1394.9254384425694,695.8654074011988,8.149000000000001,25.527059833648757,-2.5683893113068823,-5.478785777959107,-9.26530892531983,216.001
3,3,230.58900000000003,177.4075,227.3529,175.0563,-16.0,-12.0,67.0,36.001,0.4852,-0.4876,228.97095,176.2319,14.0,224.16330820512357,179.7249844268365,105.3757904419406,32.62028808132619,535254.4812004424,3609255.648043269,s1,20.70833265057053,32.21919546051373,26.866633711432765,-0.08502049047740852,3.436169361467852,-1.9138111053539189,1393.3061830734591,697.033044155201,12.149000000000001,27.89584377296955,-3.467947372171563,-4.878616851601828,-10.751893399514195,216.001
4,4,230.58900000000003,177.4075,227.3529,175.0563,-20.0,-16.0,67.0,36.001,0.1496,-0.1541,228.97095,176.2319,18.0,222.78969626373024,180.72300854878975,105.36118815068541,32.62926751741046,533881.1879427319,3610246.3083223924,s1,22.419710868751668,32.42285928069648,28.26258421511548,-0.16952946601346422,4.07813981388288,-2.633458411599314,1391.6872502755796,698.2009028106086,16.149,29.8636531198362,-4.167574349611678,-4.3227207538712555,-11.91364437225693,216.001
5,5,230.58900000000003,177.4075,227.3529,175.0563,-24.0,-20.0,67.0,36.001,0.1276,0.0,228.97095,176.2319,22.0,221.41608432233696,181.72103267074303,105.34658585943019,32.63824695349474,532508.1683741047,3611237.156916429,s1,23.924187117954297,32.52569946706376,29.48146737073721,-0.24902008837264739,4.690024739163431,-3.2635446151766727,1390.0686401212652,699.368983464622,20.149,31.600749455244856,-4.812989206147918,-3.7904302654556457,-12.834094582574824,216.001
6,6,230.58900000000003,177.4075,227.3529,175.0563,-28.0,-24.0,67.0,36.001,0.2627,0.0,228.97095,176.2319,26.0,220.04247238094368,182.7190567926964,105.33198356817499,32.647226389579025,531135.4225560285,3612228.193907757,s1,25.262384975680387,32.53543717339053,30.603624911264838,-0.319381915508767,5.288680952644924,-3.807635258933279,1388.450352682979,700.5372862143549,24.149,33.152192651730395,-5.434901303994746,-3.2634294305151563,-13.551905221601952,216.001
7,7,230.58900000000003,177.4075,227.3529,175.0563,-32.0,-28.0,67.0,36.001,0.4004,0.0,228.97095,176.2319,30.0,218.6688604395504,183.71708091464959,105.31738127691979,32.65620582566331,529762.9505500749,3613219.419378686,s1,26.459506444326767,32.47443895935748,31.65329100824039,-0.38050970681741625,5.87830547522816,-4.2684373964928515,1386.832388033306,701.7058111568404,28.149,34.54570911667628,-6.036814899583408,-2.7403389297840963,-14.097750396374895,216.001
8,8,227.3529,175.0563,224.1169,172.7051,-4.0,-0.0,67.0,36.001,0.5442,-0.6812,225.7349,173.8807,2.0,225.04809402930331,174.37971206097663,105.38519622818475,32.5721955247371,536156.1918688727,3603927.554845855,s1,13.490330612050045,28.929461846620086,22.591005274655924,0.6778785292268464,1.2151856091657218,2.823050216897432,1394.369181793597,690.7519204556393,0.14900000000000002,18.366919128633505,-1.1167243879214714,-5.393912626417404,-5.511851668708918,216.001
9,9,227.3529,175.0563,224.1169,172.7051,-8.0,-4.0,67.0,36.001,0.9626,-1.0174,225.7349,173.8807,6.0,223.6744820879101,175.3777361829299,105.37059393692957,32.58117496082138,534782.0824627546,3604918.09051938,s1,16.439586871813297,31.52774788957803,24.671647175593947,0.1491248375941863,1.8115247857583938,0.9834959643136708,1392.7492868636905,691.9196322173739,4.149,22.631772918835352,-1.7533126929686373,-5.835199316719493,-7.4861452006254705,216.001
