index,pt_index,lon_c1,lat_c1,lon_c2,lat_c2,bottom,top,dip,azimuth,dip_m,strike_m,e_trace,n_trace,depth,easting,northing,lon,lat,utm_lon,utm_lat,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs,strike
0,584,130.5075,69.6271,128.47799999999998,67.4178,-3.0,-0.0,35.0,47.4286,1.6728,-0.0,129.49275,68.52244999999999,1.5,128.04351870392142,70.10005698245149,104.35398135642671,31.633969206283172,438738.3327321001,3500046.257688153,s4,0.0,0.0,0.0,0.0,0.0,0.0,1279.5262912672915,568.2894834556328,-0.35100000000000003,0.0,0.0,0.0,0.0,227.4286
1,585,130.5075,69.6271,128.47799999999998,67.4178,-6.0,-3.0,35.0,47.4286,1.8923,-0.0,129.49275,68.52244999999999,4.5,125.14505611176428,73.25527094735453,104.32316901875872,31.662357339903263,435835.8559012652,3503210.485985755,s4,20.581824378360945,32.32853395387782,29.972682744930353,1.7031535478170994,3.1863713432750127,-5.338196378081884,1276.1046514171412,572.0196939858342,2.6489999999999996,34.14052176108396,-0.13455010493201947,-4.475482761559961,-16.006808206875494,227.4286
2,586,130.5075,69.6271,128.47799999999998,67.4178,-9.0,-6.0,35.0,47.4286,2.0691,-0.0,129.49275,68.52244999999999,7.5,122.24659351960716,76.41048491225753,104.29235668109072,31.690745473523346,432935.1632476229,3506375.5709421504,s4,24.988291904209696,33.17485567343772,35.38404349748433,1.5157556921540534,5.579517472313872,-5.267636399247117,1272.6851148781066,575.7509144044993,5.649,40.120018652335354,-0.8901883655831551,-1.9662680585201409,-21.91362165191206,227.4286
3,587,130.5075,69.6271,128.47799999999998,67.4178,-12.0,-9.0,35.0,47.4286,2.221,-0.0,129.49275,68.52244999999999,10.5,119.34813092745004,79.56569887716054,104.26154434342271,31.71913360714343,430036.2565955329,3509541.5137617444,s4,27.891797523738628,33.8246599083182,39.34563918616815,1.7799925200293396,7.12727648171184,-3.790085566361164,1269.2676838008688,579.4831461314634,8.649000000000001,43.206209306751404,-2.0993484199763177,0.4174061915947021,-23.78328363967612,227.4286
4,588,130.5075,69.6271,128.47799999999998,67.4178,-15.0,-12.0,35.0,47.4286,2.3088,-0.0,129.49275,68.52244999999999,13.5,116.44966833529287,82.72091284206356,104.23073200575472,31.74752174076352,427139.1377719847,3512708.315644817,s4,30.227089371799703,35.63716171308915,41.11692738570988,1.5246266205736807,8.278244561630514,-2.7310541254639085,1265.85236033921,583.2163905816992,11.649,45.152290693355496,-1.8484498334301345,1.8604002303712903,-24.468807771698327,227.4286
5,589,128.47799999999998,67.4178,126.4484,65.2085,-3.0,-0.0,35.0,47.4286,1.3859,-0.0,127.4632,66.31315000000001,1.5,126.01396870392144,67.89075698245152,104.33240606334437,31.614091662539874,436678.8546318925,3497855.3465518267,s4,0.0,0.0,0.0,0.0,0.0,0.0,1277.0984364560768,565.7066863174941,-0.35100000000000003,0.0,0.0,0.0,0.0,227.4286
6,590,128.47799999999998,67.4178,126.4484,65.2085,-6.0,-3.0,35.0,47.4286,1.6834,-0.0,127.4632,66.31315000000001,4.5,123.11550611176428,71.04597094735453,104.30159372567637,31.642479796159957,433776.3609960665,3501020.1424334007,s4,21.048714176172933,32.39817485859301,28.11087023433691,1.9117637166947328,3.5463153008133306,-5.059303276608592,1273.6767767950435,569.4375659548245,2.6489999999999996,32.94138596033193,0.7737317920581201,-4.000407722560391,-15.690285855169355,227.4286
7,591,128.47799999999998,67.4178,126.4484,65.2085,-9.0,-6.0,35.0,47.4286,1.8838,-0.0,127.4632,66.31315000000001,7.5,120.21704351960716,74.20118491225755,104.27078138800834,31.67086792978004,430875.650783982,3504185.7952825567,s4,25.664642873833472,33.712234224825075,34.577020526175644,1.6492164419676798,6.1400711513844,-5.299573005618751,1270.2572195569066,573.1694558446393,5.649,40.11091572896265,-0.15337897180674356,-1.612580114911325,-22.446691500396717,227.4286
8,592,128.47799999999998,67.4178,126.4484,65.2085,-12.0,-9.0,35.0,47.4286,2.0679,-0.0,127.4632,66.31315000000001,10.5,117.31858092745004,77.35639887716054,104.23996905034036,31.699256063400124,427976.7258215185,3507352.3063042774,s4,28.549637289684966,34.21947835808905,39.762729195480674,1.8507269637916035,7.8751409448460805,-4.274223129801752,1266.8397668941384,576.9023574074549,8.649000000000001,44.44284607252588,-1.7913867660726517,0.6719909813606546,-24.752428148854516,227.4286
9,593,128.47799999999998,67.4178,126.4484,65.2085,-15.0,-12.0,35.0,47.4286,2.2064,-0.0,127.4632,66.31315000000001,13.5,114.42011833529287,80.51161284206358,104.20915671267237,31.72764419702021,425079.5879371817,3510519.6766994237,s4,30.73205007645524,35.7465825827645,42.3282654638702,1.6348595118799483,8.925431144891801,-2.978487295611972,1263.4244209623066,580.6362720589292,11.649,46.607181259577686,-2.1206664406233315,2.221373735957465,-24.89319699822497,227.4286
10,594,126.4484,65.2085,124.4189,62.9992,-3.0,-0.0,35.0,47.4286,1.2159,-0.0,125.43365,64.10385,1.5,123.98441870392143,65.68145698245151,104.31083077026196,31.59421411879657,434618.51012135815,3495664.837443,s4,0.0,0.0,0.0,0.0,0.0,0.0,1274.6695602606192,563.1243631170978,-0.35100000000000003,0.0,0.0,0.0,0.0,227.4286
