,index,lon_c1,lat_c1,lon_c2,lat_c2,bottom,top,dip,azimuth,dip_m,strike_m,e_trace,n_trace,depth,easting,northing,lon,lat,utm_lon,utm_lat,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs,strike
0,312,118.8791,71.7337,116.0854,68.8709,-4.0,-0.0,47.0,45.7005,0.3953,-1.5775,117.48225,70.3023,2.0,116.17969606816992,71.6370999094139,104.22786204404535,31.647798309626328,426789.0288722149,3501656.7228510845,s3,-285.5268783405526,-236.60099931394745,-136.2960119221935,250.7763103359221,-5.9702216435107704,601.529281091984,1265.4396278237878,570.188010851346,0.14900000000000002,-770.4310291976886,-156.657011706333,261.2326863245658,766.8631738225317,225.7005
1,313,118.8791,71.7337,116.0854,68.8709,-8.0,-4.0,47.0,45.7005,0.447,-1.0161,117.48225,70.3023,6.0,113.57458820450978,74.3066997282417,104.20016823720655,31.671817269104853,424182.64733193186,3504337.9199684355,s3,-46.8664974057964,655.8790317806787,70.04740007220406,-98.25609488453591,44.08749596552666,-99.09438743753007,1262.3670455216015,573.3487909152468,4.149,354.05386001129773,163.12746572904575,-280.8246829339743,112.33386545328077,225.7005
2,314,118.8791,71.7337,116.0854,68.8709,-12.0,-8.0,47.0,45.7005,0.5331,-0.4289,117.48225,70.3023,10.0,110.96948034084964,76.97629954706947,104.17247443036774,31.695836228583357,421577.6227962268,3507019.809594947,s3,-66.61869333051146,333.11175874229014,-172.05390816145467,-450.675819455915,-65.14674529132488,-387.39364460366835,1259.2960629499948,576.5103873567027,8.149000000000001,466.0365831397967,363.27090767383623,-354.3892225854105,227.8792554810595,225.7005
3,315,118.8791,71.7337,116.0854,68.8709,-16.0,-12.0,47.0,45.7005,0.3916,-0.1034,117.48225,70.3023,14.0,108.36437247718952,79.6458993658973,104.14478062352896,31.71985518806186,418973.95641648775,3509702.3925518813,s3,-23.226291534841288,-76.02534265363296,-840.3160020480368,216.794185975594,-78.47893957420567,339.61744959201815,1256.2266814663021,579.672801143875,12.149000000000001,-830.8107044645087,306.7380450390047,138.8835401768866,835.2012367371534,225.7005
4,316,118.8791,71.7337,116.0854,68.8709,-20.0,-16.0,47.0,45.7005,0.1164,0.0,117.48225,70.3023,18.0,105.75926461352938,82.3154991847251,104.11708681669016,31.743874147540367,416371.6493457768,3512385.6696581705,s3,479.80330309776264,2062.001029883142,-280.4609672166979,-56.607850602694285,-123.77309073759251,-395.4749516981165,1253.1589024298328,582.8360332421771,16.149,786.0621340859583,797.952167503764,-826.1724041791837,676.965567817211,225.7005
5,317,118.8791,71.7337,116.0854,68.8709,-24.0,-20.0,47.0,45.7005,0.0,0.0,117.48225,70.3023,22.0,103.15415674986923,84.9850990035529,104.08939300985138,31.767893107018885,413770.7027388385,3515069.6417304175,s3,370.1036970401216,590.1385716909388,1167.3648574931433,-53.84218834041076,93.06935386303769,-607.9663997038471,1250.0927272018798,586.0000846142771,20.149,1328.9053610209194,-349.4823615402019,-323.62997884514334,-321.02999589006913,225.7005
6,318,118.8791,71.7337,116.0854,68.8709,-28.0,-24.0,47.0,45.7005,0.0,0.0,117.48225,70.3023,26.0,100.54904888620912,87.65469882238068,104.06169920301258,31.791912066497392,411171.11775208986,3517754.309582892,s3,443.13317746754433,1078.2531756753567,1093.1457280641634,-159.0710852850565,159.1552531644098,-492.0267974521394,1247.0281571457072,589.1649562200914,24.149,1466.7051328186176,-114.94868956759407,-386.00947191748634,-477.2619673139653,225.7005
7,319,118.8791,71.7337,116.0854,68.8709,-32.0,-28.0,47.0,45.7005,0.0,0.0,117.48225,70.3023,30.0,97.94394102254896,90.32429864120847,104.0340053961738,31.815931025975903,408572.89554362866,3520439.674027526,s3,-29.40780728116513,525.8079830101366,55.2781975933881,226.43023463766522,-230.250085438551,-309.56510649375304,1243.96519362656,592.3306490167824,28.149,101.62062316391835,-17.531632002568873,-466.85419594121333,406.21088606350844,225.7005
8,320,116.0854,68.8709,113.2918,66.0081,-4.0,-0.0,47.0,45.7005,1.0378,-1.3117,114.6886,67.43950000000001,2.0,113.38604606816996,68.77429990941391,104.1981639249945,31.622041086873274,423952.1351013564,3498822.061963566,s3,-195.9242160456515,-808.9766901493342,-80.34876600137628,351.9899723083466,-80.03058216138628,241.3192347838971,1262.0953018075074,566.846317111932,0.14900000000000002,-726.3949888374204,-373.8418734650676,293.6983607687166,911.2488920535277,225.7005
9,321,116.0854,68.8709,113.2918,66.0081,-8.0,-4.0,47.0,45.7005,0.7943,-0.8969,114.6886,67.43950000000001,6.0,110.7809382045098,71.4438997282417,104.17047011815573,31.646060046351785,421345.73062827904,3501503.9628817136,s3,104.76282333576489,17.262461049840017,83.04296294903405,177.17610445717168,-24.09210329538815,-8.741036576668835,1259.022692470562,570.0079268647473,4.149,-34.5964798265464,-99.13036202138579,12.896185548765416,120.72358339292917,225.7005
